t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,0.000000,0.000000,0.000000,0.000091,-0.000028,0.000000,0.000001,1,-0.917500,0.289681,-0.004756,-0.000006,-0.000019,-0.000001,0.000002,1
0.109964,-1.168181,-4.248209,-0.126412,-0.373965,-1.441782,-0.042427,6.559153,1,-0.603226,0.340506,-0.003966,0.103812,0.013316,0.000319,0.827078,1
0.209984,-14.356766,-3.313271,-0.204754,-13.507969,-0.539003,-0.120121,86.471697,0,-0.504880,0.317353,-0.007732,0.096068,-0.009810,-0.003081,0.500275,1
0.310187,-14.553235,-5.507805,-0.187169,-13.636786,-2.812479,-0.102852,91.890697,0,-0.670500,0.749808,0.003678,-0.024890,0.203874,-0.003292,1.968489,1
0.419966,20.168340,-5.802679,-0.329673,21.221262,-3.157102,-0.246658,216.938972,0,-1.127875,0.476973,0.011216,-0.275613,-0.056912,0.001374,3.451955,1
0.519922,9.827269,-6.796722,-0.017036,10.950634,-4.190784,0.065170,65.416329,0,-0.776072,0.449692,-0.000043,0.079842,-0.059466,0.008872,0.418094,1
0.619878,2.923029,-2.571496,-0.014295,1.921801,0.011121,0.031930,8.117484,1,-0.554276,0.383018,-0.006432,0.215722,-0.107443,0.005490,2.381167,1
0.729880,10.118153,-2.351256,-0.193948,9.168665,0.206132,-0.146140,46.552628,0,-0.543481,0.294580,-0.015140,0.164990,-0.147027,0.003427,1.952720,1
0.830055,8.973480,1.506823,-0.585023,8.083035,4.040921,-0.534024,45.083339,0,-0.653962,0.308788,-0.032579,0.072538,-0.085643,0.001216,0.504025,1
0.939844,5.593394,-4.336325,0.292967,2.625116,-1.008194,0.195613,14.556562,1,-0.479268,0.257236,-0.038569,0.180741,-0.087463,-0.014101,1.636597,1
1.039832,28.031714,-1.353537,-0.222736,25.084302,1.948650,-0.317132,368.926311,0,-0.363104,0.291717,-0.021185,0.205311,-0.042513,-0.009779,1.648562,1
1.139837,-3.423174,-4.269735,-0.195632,-6.352652,-0.963567,-0.288882,23.871720,0,-0.345371,0.106898,-0.003774,0.165173,-0.145404,-0.007564,1.856025,1
1.249806,-15.754796,-6.845473,-0.136700,-18.653474,-3.539636,-0.230780,212.369387,0,-0.719975,0.254370,0.007789,-0.136124,0.001367,0.003713,0.677485,1
1.350018,-2.920547,-11.763800,-0.192908,-5.751839,-8.478638,-0.285510,61.734977,0,-0.314514,0.081918,-0.012682,0.211595,-0.114046,-0.008004,2.339259,1
1.459764,5.211326,-6.702458,-0.195311,1.446042,-2.118976,-0.174412,10.519111,1,-0.212842,0.226247,-0.024922,0.153868,0.044252,-0.002919,1.048643,1
1.559777,2.168605,-1.699759,-0.467742,-1.005857,1.881525,-0.287789,6.684552,1,-0.440438,0.198046,-0.052818,-0.082757,-0.012098,-0.012808,0.279675,1
1.659764,-10.230255,-7.497723,-0.088473,-13.283780,-3.937532,0.093540,125.096910,0,-0.807523,0.218041,-0.029162,-0.322176,-0.007254,0.011618,4.091571,1
1.769749,-3.210126,-4.777707,-1.274833,-6.224447,-1.215120,-1.090866,26.756912,0,-0.377930,0.084794,-0.026059,0.018078,-0.086781,0.006682,0.316027,1
1.869825,1.142798,-4.982868,-0.253849,-1.202059,-0.994594,-0.045670,3.540261,1,-0.576829,0.274572,-0.027364,-0.145947,0.069802,0.003139,1.052517,1
1.969685,6.880303,-6.700238,-0.334493,4.596094,-2.686569,-0.122898,19.124241,0,-0.484439,-0.024903,-0.030453,-0.078804,-0.149651,-0.001919,1.154441,1
2.079717,4.324486,0.489782,-0.106702,2.060197,4.442156,0.106391,16.545954,0,-0.260637,0.356472,-0.024883,0.053899,0.139071,0.008162,0.907402,1
2.179675,-6.779964,-2.852983,0.116249,-8.987372,1.051368,0.335715,55.936515,0,-0.399201,0.347611,-0.046876,-0.090211,0.069386,-0.008051,0.528809,1
2.289676,-1.579985,-3.230386,-0.290202,-2.506194,0.431881,-0.047573,9.866303,1,-0.791200,0.367273,-0.035237,-0.299123,0.035686,0.010238,3.712760,1
2.389690,1.060932,-5.487345,-1.130909,0.255518,-1.346906,-0.635083,2.924246,1,-1.100430,0.378594,-0.052976,-0.404584,0.034897,0.010159,6.469353,1
2.489656,-11.898967,-0.805047,-0.395933,-12.563085,3.295989,0.107126,119.854977,0,-1.031204,0.383684,-0.060430,-0.228294,0.003674,-0.004099,2.047895,1
2.599665,-7.108371,1.641028,-0.203185,-7.674686,5.619922,0.302839,64.635092,0,-0.824091,0.761880,-0.038884,-0.044373,0.222373,0.009242,2.048160,1
2.699619,-0.443023,-5.974411,-0.436209,-0.668946,-1.497357,0.055022,3.601833,1,-0.802416,0.548643,-0.038779,-0.042823,0.001793,-0.005778,0.074181,1
2.799741,-9.537624,-3.981157,-0.120941,-9.534283,0.423144,0.376453,68.193658,0,-1.431122,0.647754,-0.029070,-0.457799,0.035825,-0.012209,8.428682,1
2.909671,2.896256,-2.329063,0.699210,2.321799,1.512376,0.896356,10.325236,1,-1.304141,0.564394,-0.032542,-0.267453,-0.065907,-0.017786,2.985524,1
3.009596,-1.694536,-3.725188,-0.421485,-1.562466,0.041215,-0.163444,3.398738,1,-1.443146,0.640513,-0.025187,-0.271513,-0.010821,-0.024306,2.808504,1
3.119597,3.255978,-1.118914,-0.632095,2.637263,1.975934,-0.285104,13.865102,1,-0.777482,0.728348,-0.021297,0.179162,-0.004181,-0.004782,1.237011,1
3.219556,-2.034414,-3.443450,-0.247056,-1.886622,-0.412401,0.083942,4.804247,1,-1.564934,1.171014,-0.031493,-0.403037,0.243901,-0.013972,8.002687,1
3.319722,-0.756816,-4.215697,-0.303809,-0.394071,-1.014736,0.026723,1.357019,1,-2.341610,0.823560,-0.061306,-1.226343,-0.133756,0.003750,21.677295,0
3.429567,1.111871,-3.463910,-0.501301,1.436976,-0.240663,-0.127404,1.975366,1,-1.818485,0.763374,-0.078160,-0.449199,-0.158835,-0.009342,8.863640,1
3.529478,40.460421,-2.370328,-0.012615,40.897031,0.874908,0.365509,1220.384043,0,-1.928653,0.806807,-0.083580,-0.354783,-0.073324,-0.014817,4.725525,1
3.639503,0.843857,-2.462133,-0.501832,1.411965,0.468764,-0.083516,2.170141,1,-2.083611,0.950259,-0.099702,-0.325480,-0.003774,-0.007161,4.132035,1
3.739458,1.365762,-3.192620,-0.665533,1.820997,-0.249578,-0.182088,3.487357,1,-2.299109,0.812708,-0.138841,-0.326184,-0.107712,-0.025135,4.615082,1
3.839600,1.002620,-5.219992,-0.449767,1.424667,-1.936757,0.036198,6.404140,1,-2.368191,1.063347,-0.140078,-0.230132,0.049071,0.009480,2.162167,1
3.949440,-1.647950,-12.453411,-0.428128,-0.964747,-9.244708,0.086075,67.157836,0,-2.276194,0.903249,-0.193688,-0.050058,-0.117282,-0.035939,0.675868,1
4.049436,0.513167,-2.069251,-0.464231,1.242231,0.848141,0.061337,2.400371,1,-2.651114,1.002915,-0.136706,-0.235170,-0.033024,-0.044765,2.282379,1
4.159418,-12.034991,-5.836295,-0.339023,-10.951915,-3.098875,0.192576,102.396197,0,-2.813806,1.310738,-0.044438,-0.205953,0.159371,-0.007661,2.696260,1
4.259426,-5.484271,0.916767,-0.409911,-4.102376,3.562905,0.125936,23.211787,0,-2.804746,1.077179,-0.034808,-0.074573,-0.069650,-0.003832,0.413734,1
4.359522,-5.146773,-9.605208,-0.610862,-3.499845,-7.011615,-0.067621,48.964102,0,-2.747105,0.934025,-0.038019,0.043794,-0.166325,-0.013912,1.179836,1
4.469381,-9.464314,-3.337569,-0.487972,-7.546178,-0.847887,0.058098,44.875878,0,-2.727324,1.061058,-0.044664,0.120212,-0.050774,0.010528,0.683355,1
4.569439,-3.859187,-3.383806,-0.078726,-1.144778,-0.821775,0.379720,3.114968,1,-3.703750,1.153643,-0.075073,-0.446660,0.021463,0.001529,7.951190,1
4.669364,2.393240,-2.720641,-0.618523,5.345977,-0.250569,-0.153500,23.426473,0,-2.981942,1.081645,-0.063564,0.251046,-0.062692,0.003644,2.613468,1
4.779394,1.361135,-1.243056,-0.513157,4.563766,1.212490,-0.037456,18.272924,0,-2.888986,0.717092,-0.054071,0.298804,-0.271529,-0.011874,6.428312,1
4.879381,-5.035009,-1.208120,-0.001761,-1.222297,0.910933,0.386797,2.998232,1,-3.291808,1.089004,-0.053725,0.017308,0.042345,-0.000772,0.082325,1
4.989383,17.106346,0.888304,-0.341930,21.242510,2.893719,0.047919,367.463781,0,-3.221045,1.040842,-0.083658,0.135631,-0.001144,0.035302,0.773038,1
5.089302,-5.030683,-1.847055,-0.519866,-0.657707,0.027048,-0.091027,0.251026,1,-2.612224,1.121699,-0.125917,0.546021,0.049348,-0.003002,11.874318,1
5.189302,-11.706194,-3.185625,-0.667983,-7.064378,-1.425776,-0.226267,39.711736,0,-3.023603,1.107337,-0.097700,0.151207,0.018682,-0.008671,0.870577,1
5.299480,1.294740,19.676756,-0.788439,6.261029,21.273116,-0.337553,385.796189,0,-3.138550,1.245312,-0.066242,0.095987,0.122782,-0.005086,0.928848,1
5.399310,1.516297,1.460923,-0.614060,6.755342,2.907098,-0.157596,43.261991,0,-3.096793,1.251477,-0.040585,0.150939,0.108231,-0.001605,1.329957,1
5.509256,3.969496,3.633665,-0.726131,9.184168,5.013758,-0.271224,87.306484,0,-3.142352,1.437281,-0.030837,0.069131,0.192789,0.005334,1.544856,1
5.609263,-11.683507,-0.896761,-0.435178,-5.865156,0.207918,0.025074,26.239791,0,-3.019259,1.303385,-0.038967,0.243917,0.051079,0.020508,2.484819,1
5.709286,-7.660654,2.051896,-0.259124,-1.252837,2.457956,0.164736,9.071005,1,-3.264249,1.336705,-0.059447,0.077149,-0.004258,0.008201,0.239689,1
5.819434,-12.075213,5.353318,-0.558946,-5.413058,5.566510,-0.126706,46.615827,0,-2.944787,1.519264,-0.058097,0.310575,0.116807,0.002470,4.264340,1
5.919254,-3.293727,1.168440,-0.559271,3.002536,1.004466,-0.100116,12.011818,1,-3.208791,1.449293,-0.059661,0.052575,0.027581,0.009327,0.140523,1
6.029187,-12.787500,-0.192312,-0.579567,-6.193136,-0.505061,-0.108984,28.967187,0,-3.067929,1.386559,-0.060071,0.187869,-0.016414,-0.013017,1.323395,1
6.129193,-11.926402,11.811359,-0.582346,-4.951145,11.358849,-0.115287,119.111534,0,-3.549519,1.388344,-0.023773,-0.112218,0.003478,0.018041,0.482639,1
6.229153,-10.630108,-0.193969,-0.501762,-2.781555,-0.705603,-0.030474,8.960897,1,-3.277520,1.617444,-0.026054,0.185694,0.165298,0.017036,2.364681,1
6.339264,-7.250648,1.688817,-0.512473,0.747340,0.850549,-0.029117,1.559233,1,-3.244803,1.422357,-0.042416,0.188045,-0.026570,0.002519,1.353411,1
6.439140,-9.611758,0.960822,-0.437721,-1.164396,-0.015889,0.046307,1.255566,1,-3.001454,1.451923,-0.053421,0.314711,-0.011537,-0.008328,3.758935,1
6.549175,-11.532650,2.163061,-0.682025,-2.398839,0.800142,-0.155294,6.664556,1,-2.802600,1.708688,-0.039610,0.403140,0.132702,-0.009557,6.931636,1
6.649093,-36.997287,3.783155,-0.646232,-27.594124,2.282631,-0.111615,606.150989,0,-3.064450,1.509288,-0.042334,0.171419,-0.062098,-0.009051,1.277281,1
6.749108,-7.662346,4.826123,-0.888186,1.712127,2.697809,-0.290026,11.561405,1,-3.311916,1.341607,-0.041350,0.050636,-0.178711,0.005936,1.339676,1
6.859130,-6.520258,-2.459480,-0.773874,3.248315,-4.753054,-0.170015,25.853745,0,-2.092847,1.355470,-0.042296,1.489160,-0.146586,0.009513,32.641983,0
6.959093,-1.360135,1.676940,-0.557264,8.786831,-0.763954,0.052985,61.008348,0,-2.658935,1.236969,-0.036579,1.126402,-0.236790,0.027346,18.379916,0
7.059062,-14.193491,-0.073802,-0.593114,-3.029814,-2.210420,0.019176,16.054646,1,-2.476886,1.148774,-0.039484,1.581333,-0.265191,0.034097,33.865132,0
7.169095,-5.042193,-0.462068,-0.673550,6.593443,-2.751078,-0.052774,38.277533,0,-2.506716,1.292615,-0.039480,1.782531,-0.092346,0.037641,38.068222,0
7.269128,-8.123737,0.393274,-0.640132,3.304083,-1.695526,-0.008216,15.012246,1,-2.290815,1.136881,-0.038272,2.119163,-0.190319,0.044908,51.421582,0
7.379050,-10.643366,-2.363574,-0.661602,1.295510,-4.596523,-0.014933,16.613900,0,-2.291735,1.123705,-0.065688,2.357503,-0.187666,0.068527,58.210902,0
7.479009,-14.531482,11.149258,-0.492626,-2.104326,8.781622,0.166764,60.078121,0,-2.128674,0.964921,-0.057061,2.756162,-0.382506,0.070200,76.389889,0
7.578995,-5.219285,-0.003836,-0.535418,7.719966,-2.506546,0.136049,48.917979,0,-1.917203,0.889320,-0.035318,3.204451,-0.461608,0.085472,97.717786,0
7.689010,-19.275188,-0.233327,-0.647319,-5.743078,-2.882220,0.038913,30.762123,0,-1.506052,0.839352,0.011676,3.882852,-0.489400,0.145888,133.723096,0
7.788965,-0.221701,1.786955,-0.676975,13.873811,-0.993257,0.024753,144.319762,0,-1.094436,0.686808,-0.017845,4.542086,-0.626971,0.137170,173.143564,0
7.889013,-15.321696,2.201201,-0.278939,-0.506913,-0.564965,0.355543,0.824922,1,-1.199276,0.570222,-0.019347,4.732397,-0.714784,0.128010,178.792398,0
7.998999,-7.819430,12.354176,-0.517159,7.676514,9.444850,0.133929,110.515244,0,-1.208679,0.492336,-0.001608,4.984472,-0.809285,0.149371,185.694746,0
8.099080,-14.207966,6.752359,-0.596311,1.501578,2.878572,0.049268,12.960184,1,-0.561038,0.182540,-0.004947,5.713667,-1.404843,0.155454,239.350571,0
8.208919,-22.598194,10.410150,-0.640713,-6.185399,6.360149,0.025617,56.124141,0,-0.757949,0.330244,-0.047759,5.644583,-1.274042,0.141161,213.605375,0
