t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.004206,-0.002386,0.000063,-0.420628,-0.238555,0.006256,1.000000,0.000001,0.000001,0.000040,330.0045257732
0.109801,-0.043607,-0.026813,0.000248,-0.436524,-0.268436,0.002474,1.000000,-0.000049,-0.000051,0.000920,6.1569683218
0.209842,0.235963,-2.651290,-0.002123,-0.238987,-0.029757,0.002704,1.000000,-0.000467,0.000021,0.000495,3.4526453371
0.309832,0.261002,-4.293518,-0.003780,-0.189141,-0.117289,0.002480,1.000000,-0.000084,0.000541,-0.000298,2.5081830471
0.419871,0.202954,-3.151908,-0.006531,-0.170261,-0.202079,0.002412,0.999999,0.000768,0.000687,-0.000408,2.0200894469
0.520056,0.216872,-3.285674,-0.006072,-0.089134,-0.557512,0.001653,0.999984,0.005353,0.002002,-0.000026,2.0143286368
0.619841,0.449119,-3.334976,-0.010472,0.303169,-0.449138,-0.003897,0.999953,0.002357,0.009420,0.000511,1.7217237397
0.729846,0.426528,-3.056511,-0.007476,0.195178,-0.290566,-0.002647,0.999974,-0.001463,0.006629,0.002449,1.5397590318
0.829906,0.431484,-3.716227,-0.000366,0.211256,-0.227725,-0.000351,0.999963,-0.003367,0.007270,0.003095,1.3993320918
0.929873,0.120221,-3.479247,0.012329,0.059931,0.000946,0.009625,0.999945,-0.009437,0.003233,0.003270,1.2883638633
1.039930,-0.032060,-3.291645,0.000768,0.020212,0.012026,0.008542,0.999950,-0.009405,0.002334,0.002635,1.1999191601
1.139870,0.156302,-2.291846,-0.002057,-0.051695,0.090198,0.004613,0.999932,-0.011360,0.000456,0.002417,1.1249915727
1.249884,0.147375,-2.629149,0.002682,-0.216439,-0.005552,0.005402,0.999956,-0.007945,-0.004273,0.002503,1.0667410613
1.349872,0.227285,-2.893763,0.001185,-0.218231,0.081084,0.002342,0.999935,-0.010583,-0.002720,0.003300,1.0143657935
1.449935,0.243957,-2.788504,-0.001635,-0.252758,0.088342,-0.000204,0.999932,-0.010612,-0.003296,0.003652,0.9685202276
1.559995,0.350404,-3.086827,-0.001626,-0.151914,0.023539,0.003786,0.999951,-0.009113,0.000618,0.003764,0.9298236583
1.659945,0.272719,-2.895355,-0.006382,-0.135980,0.386859,-0.002167,0.999779,-0.020628,0.001695,0.003767,0.8515755082
1.759940,0.258127,-2.854087,-0.006165,-0.145931,0.412694,0.002167,0.999775,-0.020662,0.001715,0.004432,0.8687499632
1.869907,0.584545,-2.946997,-0.003780,0.107963,0.221300,0.006772,0.999836,-0.013744,0.010294,0.005715,0.8437905347
1.970072,0.571288,-2.663331,-0.009007,0.049240,0.191834,0.002208,0.999881,-0.012047,0.008164,0.005160,0.8197190730
2.069964,0.424221,-3.012097,-0.010287,0.058081,0.092084,-0.005762,0.999903,-0.009619,0.008413,0.005549,0.7971000540
2.179916,0.284219,-3.901222,-0.008098,-0.105476,-0.069400,-0.004072,0.999966,-0.005234,0.003139,0.005573,0.7779201885
2.279929,0.264326,-3.901311,-0.009752,-0.125349,-0.113567,-0.002245,0.999970,-0.004456,0.002632,0.005689,0.7615246563
2.389926,0.424467,-3.884465,-0.010512,-0.065369,-0.029980,-0.002385,0.999942,-0.006505,0.005252,0.006744,0.7473513003
