t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.023032,0.020832,-0.001769,-2.303195,2.083173,-0.176886,0.999997,0.000131,0.000027,-0.002366,330.0045257424
0.100027,-0.215478,0.175186,-0.017943,-2.390983,1.943621,-0.199118,0.999702,-0.000070,0.000327,-0.024421,6.1561170702
0.209888,-0.440365,0.413048,-0.044954,-2.264130,1.972861,-0.225767,0.998646,-0.000109,0.001558,-0.051996,6.0562910071
0.309858,-0.853433,-3.109073,0.572785,-2.076002,2.068087,-0.227007,0.996879,-0.000729,0.004658,-0.078799,3.4192905130
0.419802,-1.047536,-2.870873,0.545075,-2.054826,1.992155,-0.239263,0.994068,-0.001597,0.007703,-0.108475,3.4080327633
0.519764,-1.137341,-2.559912,0.549247,-1.834994,2.164880,-0.182131,0.990697,-0.008128,0.011807,-0.135331,3.3906399576
0.619747,-1.333605,-2.361798,0.530589,-1.962964,1.981455,-0.186610,0.986786,-0.006297,0.011505,-0.161498,3.4037816053
0.719714,-1.543973,-2.181109,0.511063,-2.104380,1.807498,-0.195318,0.982167,-0.003756,0.010492,-0.187679,3.4197854302
0.829659,-1.785117,-2.000886,0.489808,-2.193318,1.639209,-0.193331,0.975560,-0.001100,0.009100,-0.219543,3.4409615068
0.929617,-2.051516,-1.575227,0.470216,-2.366891,1.980400,-0.220140,0.968951,-0.009959,0.000442,-0.247051,3.4349063655
1.029627,-2.301631,-1.389494,0.446494,-2.500912,1.857144,-0.237196,0.962393,-0.009230,-0.000619,-0.271502,3.4566915453
1.139559,-1.704038,-2.717840,0.800402,-2.634531,1.684880,-0.242221,0.954849,-0.008165,-0.000830,-0.296978,2.5964418299
1.239487,-1.984476,-2.559481,0.777703,-2.806427,1.584743,-0.227152,0.947060,-0.007860,-0.001511,-0.320957,2.6229685213
1.349468,-2.312035,-2.401917,0.753484,-2.978317,1.432647,-0.220216,0.938240,-0.007446,-0.001920,-0.345900,2.6569126432
1.449493,-2.625787,-2.272548,0.734955,-3.136729,1.293365,-0.185245,0.929285,-0.006960,-0.002961,-0.369287,2.6931005804
1.549478,-2.955068,-2.160632,0.719817,-3.293301,1.119322,-0.151395,0.919025,-0.005855,-0.002645,-0.394147,2.7345332720
1.659346,-3.335709,-2.059424,0.706646,-3.464525,0.921178,-0.119882,0.907499,-0.003743,-0.001484,-0.420035,2.7865474435
1.759209,-3.697670,-1.983883,0.694564,-3.624572,0.756444,-0.120982,0.895821,-0.000924,0.000070,-0.444414,2.8398702857
1.859172,-4.073445,-1.923029,0.681182,-3.759138,0.608764,-0.133877,0.885896,0.001480,0.001545,-0.463880,2.8996869151
1.969114,-4.499650,-1.872852,0.663351,-3.876637,0.456397,-0.162187,0.874964,0.003022,0.003045,-0.484168,2.9734677083
2.069326,-4.901086,-1.840827,0.644477,-4.005884,0.319574,-0.188338,0.865020,0.003416,0.004084,-0.501709,3.0493029051
2.169103,-5.161921,-0.242952,0.577058,-4.097011,0.381990,-0.158834,0.856508,0.001622,0.001925,-0.516127,2.4941331160
2.278987,-5.628114,-0.214964,0.561103,-4.242596,0.254699,-0.145192,0.847628,0.001917,0.002550,-0.530581,2.5842837505
2.378950,-6.065240,-0.200475,0.547970,-4.372880,0.144946,-0.131381,0.840167,0.002736,0.002937,-0.542313,2.6770165806
2.488893,-6.559117,-0.198289,0.534545,-4.492126,0.019886,-0.122114,0.832608,0.003395,0.004336,-0.553836,2.7913867868
2.588950,-7.018856,-0.207578,0.519959,-4.594768,-0.092834,-0.145770,0.826163,0.004171,0.005019,-0.563393,2.9071567558
2.688789,-7.488111,-0.230655,0.499202,-4.700108,-0.231150,-0.207909,0.819755,0.005765,0.004885,-0.572665,3.0343152040
2.788780,-7.963847,-0.271380,0.475697,-4.757804,-0.407286,-0.235076,0.813651,0.008226,0.004576,-0.581278,3.1763706680
2.898693,-8.496049,-0.342236,0.449231,-4.842039,-0.644657,-0.240784,0.807588,0.010663,0.004607,-0.589633,3.3507692954
2.998625,-8.986721,-0.426364,0.429065,-4.910021,-0.841846,-0.201796,0.802413,0.012932,0.004172,-0.596614,3.5281349619
3.098711,-9.481979,-0.531876,0.412420,-4.948326,-1.054208,-0.166314,0.798075,0.014608,0.003618,-0.602370,3.7234446014
3.208535,-10.030856,-0.671917,0.397060,-4.997822,-1.275151,-0.139856,0.792892,0.015201,0.003381,-0.609163,3.9590275967
3.308509,-10.538924,-0.820301,0.379353,-5.081993,-1.484226,-0.177115,0.789206,0.014816,0.003203,-0.613942,4.1927557679
3.408472,-11.055079,-0.989531,0.359040,-5.163426,-1.692917,-0.203207,0.785583,0.014796,0.003628,-0.618569,4.4484373002
3.508477,-11.577656,-1.177434,0.336785,-5.225528,-1.878939,-0.222539,0.783058,0.015620,0.003943,-0.621740,4.7272999096
3.618444,-12.159511,-1.403615,0.317001,-5.291183,-2.056808,-0.179907,0.780149,0.016910,0.004756,-0.625347,5.0651030627
3.718347,-12.692605,-1.622074,0.300274,-5.336122,-2.186713,-0.167431,0.778309,0.016650,0.005690,-0.627635,5.3986742853
3.818297,-13.230925,-1.848646,0.280813,-5.385896,-2.266854,-0.194710,0.776461,0.016042,0.006779,-0.629924,5.7579702973
3.928244,-13.831377,-2.103042,0.256968,-5.461254,-2.313794,-0.216876,0.775067,0.015936,0.007524,-0.631634,6.1871510765
4.028207,-14.382496,-2.336958,0.237675,-5.513275,-2.340045,-0.193005,0.774082,0.016010,0.007896,-0.632833,6.6132234394
4.128350,-14.940850,-2.572909,0.217041,-5.575520,-2.356119,-0.206037,0.773665,0.015528,0.008855,-0.633342,7.0717149327
4.238106,-15.557262,-2.833933,0.192565,-5.616240,-2.378240,-0.223007,0.771703,0.015372,0.009532,-0.635726,7.6141907397
4.338058,-16.121522,-3.071897,0.169391,-5.645310,-2.380777,-0.231850,0.771766,0.015950,0.009524,-0.635636,8.1482393508
4.448158,-16.746742,-3.336687,0.144513,-5.678648,-2.404996,-0.225965,0.771988,0.017056,0.010120,-0.635328,8.7833680054
4.548123,-17.317284,-3.575284,0.122631,-5.707389,-2.386794,-0.218887,0.771951,0.017689,0.010025,-0.635356,9.4048106248
4.648070,-17.890827,-3.814935,0.100972,-5.738482,-2.397786,-0.216710,0.771388,0.018476,0.009452,-0.636026,10.0707357263
4.747929,-18.466944,-4.055599,0.078921,-5.769304,-2.410039,-0.220821,0.771384,0.019029,0.008762,-0.636025,10.7825765964
4.857859,-19.105715,-4.322672,0.054639,-5.810701,-2.429472,-0.220882,0.770126,0.019598,0.008136,-0.637539,11.6229818789
4.957778,-19.689732,-4.569138,0.033219,-5.844938,-2.466671,-0.214382,0.770596,0.020581,0.008028,-0.636941,12.4431090675
5.057930,-20.277691,-4.821458,0.013589,-5.870659,-2.519372,-0.196002,0.770594,0.021441,0.008647,-0.636907,13.3216454331
5.167718,-20.923260,-5.106676,-0.006023,-5.880155,-2.597908,-0.178632,0.768823,0.021768,0.009500,-0.639020,14.3507530361
5.267640,-21.512357,-5.373856,-0.023718,-5.895562,-2.673879,-0.177092,0.769606,0.021873,0.009928,-0.638067,15.3511867576
5.377568,-22.160542,-5.677417,-0.043289,-5.896415,-2.761442,-0.178029,0.769869,0.021611,0.009687,-0.637763,16.5244741280
5.477551,-22.756335,-5.962127,-0.060880,-5.958948,-2.847587,-0.175946,0.769722,0.021688,0.009615,-0.637938,17.6640502443
5.577532,-23.354820,-6.256115,-0.081731,-5.985998,-2.940442,-0.208549,0.770475,0.021873,0.009964,-0.637016,18.8704527830
5.687450,-24.015101,-6.589276,-0.106489,-6.007003,-3.030978,-0.225236,0.770092,0.022431,0.010694,-0.637449,20.2818929163
5.787446,-24.617670,-6.898567,-0.127598,-6.025944,-3.093044,-0.211098,0.769638,0.022866,0.011516,-0.637967,21.6508915452
5.887368,-25.220755,-7.213515,-0.145976,-6.035584,-3.151947,-0.183924,0.771757,0.022523,0.011333,-0.635418,23.1017506548
5.997270,-25.888974,-7.566710,-0.167023,-6.080106,-3.213717,-0.191508,0.768697,0.021673,0.010643,-0.639157,24.7901579214
6.097468,-26.503591,-7.895348,-0.189801,-6.134071,-3.279906,-0.227328,0.767557,0.021703,0.010295,-0.640530,26.4201308441
6.207169,-27.185446,-8.260104,-0.217848,-6.215537,-3.324981,-0.255669,0.765884,0.023122,0.010289,-0.642480,28.3095927552
6.307141,-27.811231,-8.604163,-0.241655,-6.259629,-3.441572,-0.238137,0.763585,0.025559,0.011548,-0.645098,30.1393044006
6.407116,-28.438698,-8.957622,-0.261024,-6.276253,-3.535479,-0.193739,0.761240,0.026713,0.012794,-0.647793,32.0733509386
6.507074,-29.066586,-9.320665,-0.279374,-6.281507,-3.631946,-0.183573,0.761086,0.026551,0.013801,-0.647961,34.1084781209
6.617033,-29.758018,-9.731088,-0.302514,-6.288098,-3.732516,-0.210446,0.760965,0.026119,0.014408,-0.648107,36.4660807404
6.716985,-30.385953,-10.114846,-0.328546,-6.282330,-3.839399,-0.260449,0.761352,0.025611,0.014433,-0.647672,38.7251259373
6.816904,-31.013429,-10.510162,-0.357860,-6.279866,-3.956376,-0.293370,0.762231,0.025762,0.013847,-0.646644,41.1020843742
6.926835,-31.703180,-10.961500,-0.389870,-6.274422,-4.105667,-0.291189,0.762485,0.026009,0.013249,-0.646347,43.8615200117
