t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,0.025585,-0.035164,-0.000298,2.558465,-3.516422,-0.029819,1.000000,-0.000000,0.000002,0.000007,330.0045258472
0.110166,0.255681,-0.354906,-0.003358,2.550039,-3.539693,-0.033495,1.000000,0.000008,0.000230,-0.000194,6.1570016671
0.209890,3.677892,-0.415150,-0.003286,2.553413,-3.544300,-0.033714,1.000000,-0.000117,0.000272,-0.000666,3.5640041856
0.309902,3.829035,-0.854704,0.009155,2.130553,-3.904934,0.030012,0.999998,0.001038,-0.001404,-0.000168,3.4610281754
0.419904,4.064811,-1.104530,0.007812,2.113752,-3.406721,0.018974,0.999996,-0.002475,-0.001358,-0.000274,3.4305857121
0.519874,4.191728,-1.355860,0.016504,1.896979,-3.212953,0.034420,0.999982,-0.004807,-0.003420,-0.000647,3.4182549612
0.620048,4.248345,-1.584880,0.022309,1.591581,-3.019785,0.034165,0.999941,-0.007683,-0.007623,-0.000943,3.4132982912
0.729893,4.528246,-1.867135,0.031278,1.719101,-2.931365,0.046207,0.999947,-0.009598,-0.003590,-0.000753,3.4141524089
0.829851,4.635435,-2.074457,0.040348,1.577267,-2.780307,0.054662,0.999894,-0.013248,-0.005980,0.000016,3.4154642200
0.939855,4.804153,-2.377843,0.045991,1.533741,-2.757952,0.051294,0.999893,-0.013449,-0.005750,-0.000165,3.4357016015
1.039913,4.953763,-2.654123,0.051347,1.495236,-2.761196,0.053535,0.999893,-0.013390,-0.005905,0.000121,3.4573702566
1.139936,5.213734,-2.814379,0.057876,1.620330,-2.574740,0.060007,0.999829,-0.018502,-0.000484,0.000201,3.4525093491
1.249902,5.409359,-3.034975,0.060635,1.620339,-2.467432,0.049534,0.999776,-0.021132,0.000622,0.000292,3.4530765355
1.349784,5.476526,-3.152723,0.072010,1.436476,-2.251412,0.051177,0.999633,-0.026840,-0.003497,-0.000730,3.4531302023
1.449798,5.652157,-3.478732,0.076550,1.462992,-2.359509,0.054222,0.999761,-0.021765,-0.002116,-0.000055,3.4546375200
1.559898,5.912407,-3.692918,0.078349,1.574780,-2.269674,0.048804,0.999711,-0.023876,0.002711,0.000323,3.4590504893
1.659789,6.114451,-4.031101,0.086650,1.630210,-2.419707,0.052141,0.999809,-0.018868,0.005111,0.000731,3.4616217963
1.759810,6.286258,-4.138745,0.094178,1.625112,-2.204317,0.051310,0.999665,-0.025221,0.005784,0.000738,3.4647364023
1.869729,6.671870,-4.251786,0.095006,1.927591,-1.976877,0.047436,0.999396,-0.031075,0.015484,0.001178,3.4701632282
1.969772,6.865807,-4.442444,0.099060,1.938538,-1.905759,0.040523,0.999397,-0.031068,0.015465,0.001133,3.4914231149
2.079900,6.992646,-4.748294,0.098699,1.811283,-2.013775,0.036410,0.999576,-0.026704,0.011475,0.001578,3.4938551052
2.179679,7.173538,-5.043047,0.093529,1.807464,-2.128887,0.033577,0.999678,-0.022566,0.011487,0.001329,3.4948617217
2.279674,7.096764,-5.281188,0.104757,1.414802,-2.126275,0.038922,0.999776,-0.021143,0.000212,0.001274,3.4968764799
2.389646,7.175853,-5.362956,0.110952,1.276346,-1.871509,0.035454,0.999616,-0.027537,-0.003119,0.000890,3.5023561477
2.489672,7.324163,-5.658609,0.114157,1.277771,-2.010866,0.036203,0.999737,-0.022820,-0.001894,0.001188,3.5056565936
2.589776,7.508028,-5.885119,0.101357,1.337086,-2.031382,0.017855,0.999759,-0.021889,0.000803,0.001319,3.5091749525
2.699630,7.739219,-6.134640,0.114399,1.413282,-2.053027,0.022225,0.999773,-0.020776,0.004522,0.001609,3.5148343024
2.799626,6.293147,-5.298993,0.206213,1.467935,-2.186568,0.042664,0.999834,-0.016570,0.007334,0.001862,2.5477303676
2.899600,6.439394,-5.516969,0.210855,1.462854,-2.180334,0.046431,0.999831,-0.016679,0.007515,0.001995,2.5641788521
3.009571,6.592515,-5.748980,0.216741,1.427760,-2.161271,0.045844,0.999828,-0.016925,0.007527,0.000572,2.5584701824
3.109707,6.733713,-5.966070,0.221173,1.410063,-2.167950,0.044261,0.999830,-0.016904,0.007341,0.000430,2.5755703599
3.219590,6.997336,-6.213968,0.248731,1.585536,-2.177603,0.072962,0.999793,-0.016186,0.012330,0.000561,2.5804262579
3.319595,7.109207,-6.389342,0.247161,1.507240,-2.098478,0.061903,0.999785,-0.017955,0.010377,0.000283,2.5835499736
3.419546,7.264628,-6.606154,0.247624,1.535983,-2.100426,0.046029,0.999790,-0.017599,0.010468,0.000001,2.5869906071
3.529537,7.467772,-6.806364,0.254177,1.651776,-2.045104,0.040055,0.999759,-0.018990,0.011026,0.000072,2.5925807553
3.629741,7.607042,-6.995303,0.250634,1.660866,-2.020682,0.034209,0.999765,-0.019662,0.009139,0.000479,2.5964245732
3.729511,7.697310,-7.111077,0.253826,1.601881,-1.895935,0.037985,0.999719,-0.023016,0.005642,0.000535,2.6004366128
3.839493,7.837323,-7.432036,0.260991,1.605445,-2.016822,0.048473,0.999822,-0.018432,0.003893,0.000695,2.6064915731
3.939486,8.069850,-7.719398,0.259838,1.766439,-2.142333,0.044692,0.999865,-0.015153,0.006354,0.000589,2.6105752515
4.039501,8.272566,-7.934814,0.259702,1.838120,-2.140457,0.039593,0.999861,-0.015088,0.006992,0.000709,2.6148028487
4.149472,8.394792,-8.097079,0.266852,1.810703,-2.029169,0.045725,0.999837,-0.017746,0.003154,0.001230,2.6210292398
4.249437,8.585416,-8.299460,0.271385,1.906897,-2.024511,0.045349,0.999838,-0.017715,0.002744,0.001681,2.6404961906
