t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.006459,0.001954,-0.000017,-0.645888,0.195392,-0.001704,1.000000,-0.000031,0.000040,-0.000003,330.0045259730
0.109964,-0.065452,0.022085,-0.000936,-0.654117,0.220749,-0.009360,1.000000,-0.000614,0.000702,-0.000050,6.1569799981
0.209984,-0.127223,0.070158,-0.002900,-0.635002,0.360006,-0.012641,0.999998,-0.001439,0.001335,0.000420,6.0559419874
0.310187,-0.241451,0.120079,-0.002296,-0.824504,0.430196,0.002226,0.999998,-0.001435,0.001498,0.000623,6.0247361248
0.419966,-3.053047,-3.142368,0.160665,-0.749381,0.444740,0.004818,0.999992,-0.001700,0.003693,0.000485,3.4045828226
0.519922,-1.221755,-4.379018,0.309358,-0.757983,0.504277,-0.015844,0.999986,-0.001756,0.004787,0.001202,2.5349039234
0.619878,-1.280781,-4.345452,0.309511,-0.761994,0.496313,-0.016029,0.999978,-0.000522,0.006412,0.001815,2.5339456569
0.729880,-0.747695,-6.151806,0.268894,-0.772931,0.511330,-0.026664,0.999963,-0.000767,0.008297,0.002046,2.0710326972
0.830055,-0.812348,-6.126701,0.264882,-0.775473,0.457177,-0.043428,0.999948,0.000179,0.009724,0.003196,2.0737064594
0.939844,-1.988678,-6.227110,0.253669,-0.949399,0.434476,-0.031821,0.999960,0.001096,0.006831,0.005587,1.7855513522
1.039832,-2.078714,-5.461602,0.264797,-0.777354,0.410878,-0.017317,0.999878,0.002606,0.013861,0.006756,1.5805059665
1.139837,-2.092242,-5.460216,0.262524,-0.673397,0.343080,-0.004649,0.999771,0.005541,0.018863,0.008419,1.5844281838
1.249806,-2.016455,-5.423827,0.262536,-0.399850,0.355642,0.002452,0.999493,0.005597,0.029754,0.009860,1.5901845933
1.350018,-2.077376,-5.425936,0.262336,-0.435393,0.288856,-0.008424,0.999482,0.007769,0.029093,0.011341,1.5942452032
1.459764,-2.107141,-5.408935,0.261901,-0.382338,0.255366,-0.021579,0.999428,0.009016,0.029946,0.012842,1.6000359347
1.559777,-2.093794,-5.388747,0.262024,-0.240184,0.258732,-0.027131,0.999328,0.010049,0.032145,0.014474,1.6038263808
1.659764,-2.146338,-5.392383,0.258772,-0.221757,0.229470,-0.028311,0.999363,0.011946,0.029749,0.015671,1.5964659874
1.769749,-2.158812,-5.367157,0.255648,-0.113419,0.229363,-0.028406,0.999328,0.011574,0.029877,0.017776,1.6166701284
1.869825,-2.563786,-4.129036,0.211221,-0.437016,0.258734,-0.027745,0.999576,0.010609,0.017550,0.020666,1.4475319816
1.969685,-2.624659,-4.083770,0.209295,-0.434548,0.311450,-0.024572,0.999529,0.009183,0.017080,0.023778,1.4515590156
2.079717,-2.639298,-5.215933,0.136865,-0.473739,0.290522,-0.025282,0.999465,0.008761,0.015627,0.027367,1.3302465362
2.179675,-2.920581,-4.340250,-0.029318,-0.556247,0.315385,-0.026958,0.999447,0.007589,0.012063,0.030046,1.1438403846
2.289676,-2.975335,-4.303902,-0.033637,-0.497757,0.330437,-0.039260,0.999338,0.006627,0.012408,0.033554,1.1625883047
2.389690,-3.077074,-4.249848,-0.042409,-0.551302,0.380799,-0.057611,0.999267,0.004738,0.009507,0.036771,1.1541277297
2.489656,-3.127771,-4.209496,-0.047751,-0.507143,0.403657,-0.053433,0.999161,0.003804,0.009139,0.039749,1.1718998944
2.599665,-3.422796,-4.160529,-0.057285,-0.817324,0.423561,-0.041491,0.999001,0.002020,-0.002109,0.044585,1.1767311935
2.699619,-3.554033,-4.112596,-0.062908,-0.843392,0.449266,-0.029202,0.998868,0.001195,-0.004621,0.047322,1.1804912006
2.799741,-3.820089,-4.031746,-0.069464,-1.063495,0.531359,-0.020496,0.998665,-0.001105,-0.012336,0.050155,1.1842969064
2.909671,-3.697222,-4.262920,-0.024209,-0.639224,0.646747,-0.024020,0.998616,-0.002247,-0.002660,0.052475,1.1152597763
3.009596,-3.929263,-4.182494,-0.029670,-0.827773,0.692067,-0.004506,0.998437,-0.003443,-0.009472,0.054975,1.1197485780
3.119597,-4.165045,-4.041110,-0.045220,-0.969997,0.837450,-0.021037,0.998186,-0.006051,-0.014625,0.058092,1.1258648343
