t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.032714,0.035849,-0.001110,-3.271401,3.584868,-0.110958,0.999999,-0.000001,-0.000063,0.001111,330.0045252118
0.099840,-0.289590,0.330449,-0.004797,-3.219777,3.674272,-0.053288,0.999940,0.001497,-0.000163,0.010826,6.1561727489
0.209860,-0.657393,0.761409,-0.013925,-3.244355,3.877617,-0.052599,0.999756,0.003142,0.001166,0.021822,6.0564135861
0.309867,-0.844983,1.147401,-0.019822,-2.721862,3.980105,-0.087197,0.999514,0.003052,0.005852,0.030462,6.0249048540
0.419909,-1.227624,1.512868,-0.024033,-2.890280,3.919825,-0.086279,0.999191,0.002306,0.005927,0.039709,6.0136130627
0.519881,-1.640129,1.823531,-0.035028,-3.132816,3.803590,-0.079050,0.998828,0.002072,0.004035,0.048196,6.0086725268
0.619861,-2.033295,2.160094,-0.043024,-3.279926,3.748002,-0.081205,0.998414,0.002328,0.002592,0.056193,6.0080633365
0.729878,-2.458515,2.558782,-0.044754,-3.404765,3.803130,-0.062785,0.997923,0.004004,0.000270,0.064299,6.0113284687
0.829870,-2.885831,2.887398,-0.056204,-3.595623,3.836238,-0.120195,0.997482,0.005392,-0.004280,0.070582,6.0137956802
0.940008,-3.148875,3.218386,-0.081365,-3.405237,3.726582,-0.219163,0.997199,0.007710,-0.001592,0.074384,6.0186199703
1.039852,-3.710297,3.497752,-0.093064,-3.792973,3.586712,-0.175504,0.996669,0.005979,-0.016505,0.079643,6.0231109090
1.139892,-4.107880,3.827861,-0.116578,-3.860700,3.572346,-0.110483,0.996306,0.004983,-0.019635,0.083448,6.0292633926
1.239834,-4.649291,4.121666,-0.135351,-4.133932,3.493848,-0.083763,0.995798,0.004297,-0.027449,0.087264,6.0347443510
1.349921,-5.079248,4.458110,-0.146442,-4.139820,3.388348,-0.104459,0.995662,0.006330,-0.023224,0.089876,6.0415081165
1.449915,-8.191164,5.079518,-0.126291,-4.108643,3.248561,-0.038749,0.995696,0.010408,-0.016615,0.090578,3.5001870400
1.559907,-8.615624,5.450186,-0.129621,-4.068638,3.301004,-0.005235,0.995776,0.009339,-0.008331,0.090955,3.5058379009
1.659881,-8.972208,5.778365,-0.130961,-4.001769,3.300674,-0.060899,0.995856,0.007884,0.001712,0.090590,3.5087293336
1.759899,-9.363563,6.080435,-0.135205,-4.011698,3.204558,-0.149196,0.995819,0.006995,0.007481,0.090771,3.5116325538
1.869934,-9.767017,6.431988,-0.146034,-4.031282,3.095346,-0.172170,0.995726,0.008996,0.012453,0.091067,3.5171588970
1.970187,-10.131155,6.784181,-0.177030,-4.055034,3.079229,-0.188991,0.995649,0.009787,0.013232,0.091715,3.5210103434
2.069939,-10.406635,7.139689,-0.208903,-3.910891,3.202327,-0.251142,0.995589,0.009320,0.013017,0.092448,3.5244128612
