t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.014182,0.124715,-0.000910,-1.418207,12.471502,-0.090955,1.000000,0.000033,0.000018,0.000011,330.0045254976
0.100014,-0.126395,1.137739,-0.008796,-1.402604,12.625634,-0.097608,1.000000,0.000218,0.000617,0.000089,6.0496546180
0.209887,-0.278662,2.528842,-0.023225,-1.385841,12.660953,-0.131326,0.999999,0.000770,0.000825,0.000240,6.0590882552
0.309863,-0.416405,3.778195,-0.034602,-1.374058,12.636072,-0.128989,0.999998,0.001902,0.000515,0.000293,6.0264022069
0.419869,-0.573834,5.152824,-0.050099,-1.369552,12.642221,-0.128529,0.999996,0.002691,0.000550,0.000356,6.0142853846
0.520004,-0.721453,6.375489,-0.061916,-1.371782,12.568001,-0.127140,0.999989,0.004567,0.000367,0.000482,6.0087396455
0.620034,-0.869713,7.646053,-0.070596,-1.376402,12.622530,-0.122608,0.999988,0.004793,0.000385,0.000460,6.0074154069
0.729933,-1.028384,9.032956,-0.085944,-1.382167,12.668584,-0.167363,0.999987,0.004957,0.000612,0.000539,6.0098721511
0.829856,-1.178852,10.313407,-0.096075,-1.394594,12.741780,-0.174867,0.999991,0.004262,-0.000520,0.000703,6.0123063095
0.939848,-1.340214,11.778950,-0.106861,-1.394001,12.893541,-0.145195,0.999997,0.000068,-0.002166,0.001038,6.0177504919
1.039831,-1.500349,13.019912,-0.121456,-1.418813,12.856795,-0.120742,0.999992,0.001104,-0.003798,0.000993,6.0218006431
1.140212,-1.660219,14.293120,-0.135285,-1.436172,12.858838,-0.103657,0.999987,0.001036,-0.004828,0.001014,6.0262016249
1.249818,-1.826896,15.676660,-0.140858,-1.434649,12.837816,-0.084307,0.999985,0.001953,-0.004971,0.001122,6.0324270229
1.349843,-1.981669,16.992574,-0.154806,-1.443733,12.895442,-0.085461,0.999988,0.001533,-0.004521,0.000990,6.0365708748
1.459869,-2.139735,18.403677,-0.172778,-1.441162,12.892567,-0.132927,0.999986,0.003789,-0.003516,0.000774,6.0423383471
1.559831,-2.295637,19.641749,-0.184285,-1.460562,12.834287,-0.159792,0.999953,0.008120,-0.005136,0.000848,6.0460953468
1.670035,-2.450165,21.117257,-0.201234,-1.444061,12.982532,-0.137068,0.999963,0.006259,-0.005863,0.000965,6.0524029636
1.769829,-2.597399,22.436735,-0.220668,-1.425974,13.091506,-0.117155,0.999967,0.004240,-0.006815,0.000784,6.0563911766
1.869845,-2.753844,23.682256,-0.236399,-1.429896,13.003712,-0.115357,0.999949,0.006543,-0.007664,0.000418,6.0602905027
1.979831,-2.930132,25.118410,-0.259434,-1.460399,13.057995,-0.165406,0.999973,0.005263,-0.005199,0.000239,6.0658608915
2.079819,-3.084610,26.411035,-0.260300,-1.474830,13.019582,-0.201561,0.999966,0.006680,-0.004824,-0.000125,6.0693309707
2.189887,-3.240130,27.906244,-0.266831,-1.467914,13.126409,-0.173844,0.999972,0.005466,-0.005130,-0.000011,6.0754430458
2.289870,-3.375659,29.228370,-0.285523,-1.441330,13.185537,-0.165908,0.999964,0.006166,-0.005864,-0.000075,6.0793541818
2.399952,-3.541388,30.665063,-0.300731,-1.446522,13.195271,-0.122476,0.999946,0.007302,-0.007326,-0.000252,6.0739542366
2.499811,-3.686451,31.988506,-0.313771,-1.452674,13.253056,-0.130587,0.999951,0.006156,-0.007676,-0.000667,6.0921910204
2.600003,-3.846149,33.161938,-0.322433,-1.475868,13.021124,-0.113421,0.999880,0.012562,-0.009044,-0.001020,6.0954771307
2.709890,-4.005760,34.637258,-0.327543,-1.463231,13.094847,-0.054599,0.999905,0.010361,-0.009023,-0.000942,6.1012384746
2.809800,-4.156766,36.022041,-0.340332,-1.470399,13.238562,-0.082540,0.999940,0.006969,-0.008439,-0.000770,6.1044815889
2.919803,-4.317778,37.470688,-0.348643,-1.463535,13.284890,-0.113499,0.999947,0.007033,-0.007467,-0.000651,6.1099065536
3.019944,-4.466973,38.849437,-0.348859,-1.472144,13.395047,-0.108927,0.999961,0.004304,-0.007642,-0.000539,6.1136776345
3.119929,-4.631780,40.151991,-0.359835,-1.498272,13.360530,-0.106987,0.999951,0.004676,-0.008666,-0.000675,6.1176713474
3.229772,-4.798179,41.626601,-0.375264,-1.496702,13.399462,-0.104013,0.999959,0.003152,-0.008448,-0.000705,6.1236957639
3.329784,-4.954918,42.968132,-0.389861,-1.503663,13.409265,-0.110867,0.999959,0.002605,-0.008705,-0.000446,6.1277130480
3.439789,-5.122229,44.434347,-0.405175,-1.513200,13.419910,-0.112375,0.999953,0.003355,-0.009043,-0.000235,6.1337831000
3.539784,-5.266360,45.764055,-0.418176,-1.497734,13.433230,-0.109471,0.999948,0.004323,-0.009214,0.000033,6.1379059849
3.649896,-5.424030,47.247188,-0.428065,-1.488178,13.471640,-0.098798,0.999953,0.004526,-0.008555,0.000397,6.1440844961
3.749787,-5.583705,48.603309,-0.443499,-1.506689,13.526045,-0.114182,0.999955,0.004165,-0.008527,0.000858,6.1481191345
3.849841,-5.739649,49.954655,-0.455029,-1.520573,13.553086,-0.135856,0.999955,0.003975,-0.008469,0.001364,6.1523062993
3.959792,-5.918029,51.460032,-0.465381,-1.540509,13.633406,-0.129760,0.999952,0.003650,-0.008863,0.002009,6.1586132519
4.059786,-6.080143,52.802005,-0.479083,-1.557879,13.634335,-0.123284,0.999951,0.004610,-0.008424,0.002511,6.1629482053
4.169968,-6.253485,54.341921,-0.492165,-1.577582,13.710719,-0.138795,0.999956,0.003953,-0.008013,0.002936,6.1691430857
4.269787,-6.414734,55.659246,-0.498359,-1.609862,13.657145,-0.128355,0.999940,0.006652,-0.008095,0.003223,6.1734221512
4.369762,-6.572599,57.023736,-0.501635,-1.632908,13.671543,-0.123723,0.999930,0.007913,-0.008140,0.003452,6.1778266324
4.479788,-6.744865,58.504384,-0.517144,-1.656279,13.671733,-0.106815,0.999920,0.009649,-0.007344,0.003481,6.1842974775
4.579751,-6.877547,59.846725,-0.533710,-1.646328,13.652510,-0.110724,0.999913,0.011456,-0.005570,0.003277,6.1886243399
4.689851,-7.050383,61.327698,-0.550772,-1.673028,13.634017,-0.121811,0.999900,0.012949,-0.004807,0.003112,6.1948895897
4.789755,-7.209175,62.651816,-0.562957,-1.706993,13.586436,-0.124643,0.999870,0.015237,-0.004454,0.002967,6.1991743297
4.889724,-7.345782,64.079796,-0.576540,-1.691741,13.690365,-0.110461,0.999902,0.013432,-0.003270,0.002394,6.2037123383
4.999709,-7.499640,65.548662,-0.593649,-1.691993,13.665565,-0.097237,0.999883,0.014941,-0.002254,0.002229,6.2101646455
5.099822,-7.639977,66.876181,-0.614383,-1.693763,13.613580,-0.113945,0.999872,0.015855,-0.001152,0.001937,6.2144678897
5.209931,-8.086539,65.157316,-0.436482,-1.688952,13.768925,-0.106971,0.999940,0.010828,0.000801,0.001115,3.4420768686
5.309761,-8.235708,66.390381,-0.455193,-1.673751,13.463521,-0.141146,0.999837,0.017736,0.002717,0.001857,3.4458779954
5.419740,-8.395333,67.819072,-0.469666,-1.656251,13.367428,-0.161425,0.999820,0.018325,0.004516,0.001865,3.4518146864
5.519915,-8.544005,69.179316,-0.483648,-1.645253,13.402941,-0.172804,0.999866,0.015324,0.005611,0.001339,3.4561767107
5.619975,-8.693821,70.447055,-0.496606,-1.638940,13.265855,-0.165184,0.999836,0.016889,0.006302,0.001495,3.4606966395
5.729772,-8.855668,72.003110,-0.511412,-1.632838,13.406461,-0.152592,0.999909,0.011333,0.007253,0.000420,3.4669165948
5.829748,-8.995162,73.323885,-0.525395,-1.613497,13.348937,-0.142604,0.999897,0.011742,0.008220,0.000335,3.4713292166
5.939752,-9.148740,74.925180,-0.541032,-1.594366,13.546868,-0.138184,0.999934,0.006767,0.009254,-0.000601,3.4774966083
6.039735,-9.282703,76.203199,-0.554446,-1.565185,13.427311,-0.138597,0.999896,0.010402,0.010035,-0.000014,3.4817556212
6.139909,-9.420127,77.505532,-0.567255,-1.551588,13.378629,-0.119232,0.999863,0.012442,0.010888,0.000498,3.4862738169
6.249800,-9.569466,78.922998,-0.586184,-1.546150,13.321702,-0.149101,0.999823,0.014650,0.011765,0.000944,3.4923038799
