t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,0.000019,0.000047,0.000001,0.001864,0.004665,0.000081,1.000000,-0.000029,0.000040,-0.000031,3.3015558006
0.109964,-0.046416,0.028863,-0.000747,-0.431747,0.270349,-0.007359,1.000000,-0.000667,0.000485,-0.000148,2.4035853772
0.209984,-0.157943,0.098747,-0.008091,-0.596934,0.366204,-0.005843,0.999976,-0.001532,0.000324,0.006745,1.6613342833
0.310187,-0.217659,0.139015,-0.007264,-0.595946,0.401868,0.008254,0.999975,-0.001298,0.000992,0.006941,1.6706362132
0.419966,-0.291754,0.186194,-0.009521,-0.649215,0.449654,0.008841,0.999973,-0.001220,0.001792,0.007027,1.4766183433
0.519922,-0.379759,0.235212,-0.017155,-0.717448,0.437224,-0.018430,0.999968,-0.000384,0.002254,0.007719,1.2137924308
0.619878,-0.459451,0.284244,-0.019793,-0.797266,0.490540,-0.026391,0.999960,-0.000341,0.002638,0.008541,1.2263697356
0.729880,-0.510576,0.319331,-0.023396,-0.802792,0.490272,-0.031350,0.999945,0.000248,0.005167,0.009097,1.1404501996
0.830055,-0.547635,0.335949,-0.026848,-0.774216,0.432434,-0.043170,0.999914,0.001379,0.007945,0.010295,1.0692068841
0.939844,-0.591067,0.362574,-0.029834,-0.748912,0.406431,-0.029220,0.999867,0.002478,0.010692,0.012068,1.0118486926
1.039832,-0.621113,0.385214,-0.034446,-0.707162,0.378163,-0.015452,0.999808,0.003856,0.013567,0.013585,0.9618413985
1.139837,-0.648918,0.406238,-0.038196,-0.658781,0.349856,0.000972,0.999720,0.005183,0.017350,0.015263,0.9190046464
1.249806,-0.680351,0.428594,-0.041024,-0.608776,0.329293,0.002411,0.999602,0.006428,0.021653,0.016930,0.8833804216
1.350018,-0.701476,0.438899,-0.041804,-0.552136,0.281763,-0.005057,0.999469,0.008126,0.025701,0.018302,0.8502242809
1.459764,-0.717298,0.450242,-0.043697,-0.427204,0.229730,-0.018029,0.999334,0.010052,0.028925,0.019857,0.8224811596
1.559777,-0.733184,0.467845,-0.046624,-0.292443,0.223882,-0.026264,0.999238,0.011391,0.030518,0.021522,0.7959436225
1.659764,-0.773097,0.491813,-0.050588,-0.211052,0.240271,-0.029960,0.999214,0.012125,0.029781,0.023169,0.7722049792
1.769749,-0.837802,0.516619,-0.055426,-0.177759,0.235574,-0.028228,0.999221,0.012039,0.027659,0.025460,0.7525816272
1.869825,-0.920970,0.546748,-0.060747,-0.203429,0.245123,-0.029927,0.999237,0.011388,0.024595,0.028122,0.7328288571
1.969685,-1.010806,0.586031,-0.060582,-0.256123,0.285009,-0.021545,0.999244,0.010185,0.021366,0.030855,0.7148679854
2.079717,-1.105428,0.626770,-0.068251,-0.308680,0.310206,-0.026226,0.999214,0.008754,0.018401,0.033995,0.7002108862
2.179675,-1.203733,0.666326,-0.073974,-0.380851,0.342588,-0.027495,0.999179,0.007264,0.014562,0.037099,0.6848489303
2.289676,-1.307187,0.709471,-0.080483,-0.450821,0.370346,-0.039660,0.999105,0.005770,0.011444,0.040314,0.6724623922
2.389690,-1.410870,0.747788,-0.085839,-0.525620,0.384930,-0.054534,0.999018,0.004687,0.007855,0.043353,0.6591380896
2.489656,-1.568089,0.803887,-0.091895,-0.758389,0.422976,-0.046804,0.998912,0.002623,0.001979,0.046528,0.6221092640
2.599665,-1.645833,0.852356,-0.095874,-0.706714,0.440588,-0.036168,0.998768,0.001893,0.001770,0.049550,0.6406567595
2.699619,-1.753674,0.932427,-0.102756,-0.748188,0.523400,-0.025856,0.998632,-0.000574,-0.001040,0.052280,0.6294009214
2.799741,-1.874842,0.976639,-0.109315,-0.796195,0.555140,-0.021501,0.998498,-0.000885,-0.004384,0.054600,0.6191134581
2.909671,-2.048378,1.030657,-0.116900,-1.108271,0.555866,-0.021926,0.998349,-0.001185,-0.008293,0.056828,0.6112934344
3.009596,-2.162474,1.096443,-0.124651,-1.088682,0.598692,-0.005920,0.998207,-0.001605,-0.009512,0.059073,0.6023359285
3.119597,-2.324383,1.181080,-0.135094,-1.111217,0.679747,-0.017321,0.998022,-0.002278,-0.011860,0.061702,0.5957032729
3.219556,-2.513673,1.260169,-0.141347,-1.208792,0.748449,-0.019774,0.997819,-0.002900,-0.015812,0.064016,0.5876827614
3.319722,-2.743724,1.339685,-0.152126,-1.322486,0.780591,-0.069404,0.997565,-0.003519,-0.020544,0.066561,0.5915362346
3.429567,-3.004587,1.439786,-0.158419,-1.454132,0.864652,-0.070340,0.997251,-0.004436,-0.026034,0.069234,0.5975571738
3.529478,-3.107847,1.523907,-0.168724,-1.430608,0.905737,-0.075802,0.997082,-0.004422,-0.026326,0.071524,0.6041706853
3.639503,-3.403582,1.614022,-0.185265,-1.636193,0.923115,-0.097375,0.996648,-0.004284,-0.032902,0.074780,0.5952561796
3.739458,-3.676194,1.856955,-0.196753,-1.843179,1.183467,-0.108381,0.996070,-0.009492,-0.038018,0.079433,0.5856429078
3.839600,-3.929056,1.904846,-0.395304,-2.009986,1.210455,-0.161477,0.995618,-0.007524,-0.043766,0.082300,0.5774330281
3.949440,-4.245118,1.984057,-0.404518,-2.176638,1.214846,-0.131934,0.995084,-0.006666,-0.049992,0.085231,0.5828900961
4.049436,-4.491981,2.023255,-0.399913,-2.314097,1.148879,-0.055726,0.994593,-0.006060,-0.054436,0.088231,0.5758916492
4.159418,-4.699307,2.143803,-0.381042,-2.336478,1.167000,0.004005,0.994304,-0.005295,-0.053815,0.091841,0.5869660802
4.259426,-4.996702,2.224021,-0.382110,-2.520446,1.162373,-0.008981,0.993882,-0.002934,-0.056553,0.094829,0.5764031616
4.359522,-5.278812,2.325709,-0.376017,-2.685795,1.203879,-0.008730,0.993515,-0.000986,-0.058326,0.097598,0.5677225088
4.469381,-5.618682,2.435350,-0.389365,-2.830153,1.217825,-0.050816,0.993198,0.002176,-0.059355,0.100146,0.5719044473
4.569439,-5.881291,2.522081,-0.379948,-2.943797,1.194765,-0.068428,0.992948,0.004222,-0.060634,0.101786,0.5643817007
4.669364,-6.142512,2.619708,-0.375267,-3.040367,1.206209,-0.061624,0.992790,0.005676,-0.061437,0.102769,0.5578813503
4.779394,-6.439465,2.791293,-0.375832,-3.143134,1.276765,-0.046944,0.992753,0.004496,-0.061019,0.103430,0.5539341287
4.879381,-6.704511,2.864063,-0.382202,-3.201527,1.232514,-0.064573,0.992845,0.005804,-0.060289,0.102912,0.5481846274
