t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,-0.000000,-0.000002,-0.000000,0.000008,0.000008,0.000017,0.000000,1,-9.284337,7.491137,0.024766,-9.282639,7.492871,0.028226,1015.765659,0
0.099820,-0.925528,0.755680,-0.000527,-0.527453,0.432868,-0.000270,0.815209,1,-9.242374,7.518649,0.004094,-9.215223,7.539364,0.004501,1003.494729,0
0.199809,-1.846272,1.514852,0.000618,-0.893883,0.741945,-0.000210,2.180025,1,-9.195678,7.559407,0.012819,-9.137498,7.611110,0.000688,988.277445,0
0.309844,-2.844370,2.361704,0.004683,-1.230778,1.043444,0.000449,3.985465,1,-9.153019,7.602829,0.019009,-9.047548,7.651649,-0.009805,963.175202,0
0.410009,-3.745536,3.142087,0.011816,-1.439743,1.242802,0.002120,5.327580,1,-9.120994,7.639323,0.039510,-8.956032,7.661545,-0.005075,933.596164,0
0.509859,-4.640001,3.928658,0.021634,-1.618986,1.419770,0.005768,6.636798,1,-9.094824,7.673797,0.046612,-8.856975,7.641571,0.009508,898.605504,0
0.619849,-5.626716,4.790853,0.030162,-1.841777,1.628222,0.009077,8.421937,1,-9.068929,7.704898,0.034188,-8.728821,7.600600,0.019316,853.811668,0
0.719814,-6.521224,5.586672,0.035021,-1.969197,1.759848,0.011416,9.364878,1,-9.041339,7.734871,0.004035,-8.574266,7.530898,0.020677,803.667730,0
0.819863,-7.415636,6.378864,0.035172,-2.087390,1.878090,0.010669,10.199246,1,-9.006927,7.774055,-0.018067,-8.394405,7.467098,0.009555,751.421767,0
0.929918,-8.395941,7.255707,0.036489,-2.249263,2.044298,0.009828,11.539306,1,-8.973823,7.812608,-0.008787,-8.172724,7.386121,0.000692,691.872668,0
1.029850,-9.284784,8.055210,0.039806,-2.318684,2.126581,0.009781,11.889430,1,-8.930809,7.857207,0.011605,-7.922660,7.275642,0.008473,632.586755,0
1.139927,-10.259176,8.938437,0.043481,-2.428231,2.250747,0.003948,12.754507,1,-8.901703,7.886795,0.027068,-7.659300,7.121459,-0.048085,569.288542,0
1.239878,-11.143166,9.742317,0.054655,-2.446375,2.288897,0.002510,12.644285,1,-8.873627,7.928435,0.087927,-7.373171,6.967933,-0.030178,512.094743,0
1.339893,-12.025301,10.547344,0.066401,-2.445061,2.307198,0.000108,12.431426,1,-8.851680,7.956897,0.109240,-7.073969,6.747639,-0.030674,455.420998,0
1.449936,-12.993416,11.436834,0.078758,-2.469442,2.351759,0.001585,12.605635,1,-8.830239,7.979917,0.090446,-6.737859,6.475374,-0.002834,398.371558,0
1.549889,-13.872650,12.243409,0.085384,-2.405530,2.305773,0.000609,11.878474,1,-8.819141,7.990321,0.063116,-6.397942,6.183221,-0.009495,347.318567,0
1.649872,-14.747755,13.053451,0.090584,-2.316409,2.241134,0.001365,11.071045,1,-8.783598,8.013822,0.041332,-6.001195,5.902537,0.002218,299.845696,0
1.749912,-15.620464,13.863897,0.092159,-2.204614,2.154095,0.000971,10.169190,1,-8.747783,8.040083,0.015274,-5.598949,5.605956,-0.000723,256.766189,0
1.859934,-16.576151,14.759548,0.096710,-2.108652,2.087914,0.000465,9.560715,1,-8.707837,8.080882,0.037357,-5.185839,5.313732,-0.007506,216.902895,0
1.960007,-17.441020,15.576739,0.102153,-1.944434,1.953714,-0.000855,8.382981,1,-8.671452,8.117108,0.048572,-4.760931,5.010966,-0.023112,182.261572,0
2.069919,-18.387885,16.478915,0.106436,-1.797718,1.841805,-0.001057,7.505092,1,-8.630709,8.142831,0.033111,-4.296837,4.667189,-0.013085,149.088785,0
2.169921,-19.245952,17.298652,0.106339,-1.603410,1.673425,-0.000073,6.259846,1,-8.583032,8.166305,0.001177,-3.833545,4.308658,0.007139,120.914495,0
2.269912,-20.104746,18.121077,0.102733,-1.413909,1.504467,-0.001097,5.144303,1,-8.539974,8.188052,-0.013598,-3.384287,3.939884,0.002170,96.395740,0
2.379931,-21.049710,19.027896,0.101354,-1.253463,1.362872,-0.000835,4.288599,1,-8.512145,8.202303,0.017005,-2.956669,3.553962,0.021327,74.856573,0
2.480019,-21.903911,19.851703,0.103295,-1.074139,1.192478,0.002513,3.313734,1,-8.494166,8.201222,0.037996,-2.566850,3.148801,0.048714,57.225359,0
2.580025,-22.758679,20.669789,0.105593,-0.914778,1.033701,0.006659,2.511212,1,-8.478562,8.184938,0.035104,-2.192208,2.770103,0.062121,42.967945,0
2.689989,-23.694883,21.557518,0.110058,-0.782441,0.897552,0.012951,1.914305,1,-8.454049,8.172220,0.045604,-1.819267,2.395264,0.088136,30.913904,0
2.789971,-24.544485,22.362854,0.119451,-0.649452,0.757912,0.021750,1.368665,1,-8.425241,8.179409,0.095620,-1.476422,2.086732,0.147330,22.489603,0
2.890198,-36.316977,23.173786,0.132629,-11.711687,0.945802,0.040740,88.239199,0,-8.401328,8.182608,0.126209,-1.314828,1.966287,0.184193,18.403220,0
3.000081,-26.314892,24.064784,0.141677,-0.591826,0.739004,0.054297,1.320615,1,-33.583895,8.178835,0.074144,-26.155671,1.616476,0.273406,2230.238656,0
3.100028,-27.151894,24.875523,0.144448,0.153995,-0.578619,-0.308312,0.766655,1,-8.334578,8.160661,0.031478,-0.092543,0.174712,0.126677,7.570013,1
3.200019,-27.987319,25.683819,0.143854,0.069053,-0.463123,-0.363147,0.341669,1,-8.319569,8.129974,0.002369,0.031955,0.000718,0.076894,0.367598,1
3.310044,-28.902009,44.759410,0.144515,-0.046799,17.799021,-0.412151,242.557629,0,-8.287221,8.113883,0.004853,0.120210,-0.086037,0.048889,1.246459,1
3.410166,-23.490404,27.376926,0.144719,6.070005,-0.300399,-0.439124,30.546117,0,-8.249611,8.100978,0.004285,0.169146,-0.134369,0.039993,2.237140,1
3.510030,-30.555060,28.180220,0.191923,-0.250345,-0.146362,-0.332421,0.221646,1,-8.226868,8.084672,0.005376,0.192039,-0.179578,0.037285,3.075855,1
3.620013,-31.465309,29.061859,0.143266,-1.031572,0.667958,-0.335129,1.621221,1,-8.197722,8.078654,0.029850,0.147749,-0.121413,0.043841,1.539798,1
3.720033,-32.284218,29.854920,0.144197,-0.854919,0.529891,-0.278709,0.999153,1,-8.166381,8.074383,0.031022,0.212716,-0.177842,0.030666,3.106095,1
3.820034,-33.098996,30.658768,0.141869,-0.780101,0.490646,-0.223561,0.803326,1,-8.119159,8.070311,0.003891,0.250347,-0.197919,0.020787,4.060093,1
3.930124,-33.992569,31.558518,0.134437,-0.781390,0.527282,-0.193452,0.842591,1,-8.071086,8.077094,0.004355,0.271832,-0.194227,0.044184,4.505068,1
4.030043,-34.515981,32.374369,0.130798,-0.400301,0.412222,-0.142939,0.286869,1,-8.030076,8.087455,-0.024768,0.276866,-0.197589,0.008108,4.616901,1
4.140072,-35.680429,33.273104,0.127942,-0.681660,0.448457,-0.108824,0.634497,1,-7.983847,8.093694,0.009884,0.263062,-0.185922,0.017208,4.164081,1
4.240048,-36.476935,34.088461,0.126346,-0.536732,0.334019,-0.075913,0.364748,1,-7.939156,8.098575,0.004791,0.255969,-0.182231,0.009543,3.982413,1
4.340059,-37.268019,34.903187,0.123491,-0.479322,0.304219,-0.048330,0.293014,1,-7.895158,8.101883,-0.006582,0.241517,-0.172152,0.005094,3.545237,1
4.450222,-38.130496,35.801793,0.121772,-0.491318,0.345247,-0.029319,0.339898,1,-7.840898,8.115257,0.003983,0.229159,-0.161449,0.011683,3.177812,1
4.550069,-38.909260,36.619193,0.121786,-0.363501,0.237468,-0.009948,0.166327,1,-7.789228,8.125244,0.012163,0.215341,-0.149386,0.000667,2.791329,1
4.650050,-39.680644,37.429909,0.121852,-0.322684,0.212187,0.005977,0.130034,1,-7.738311,8.127251,0.014652,0.202582,-0.138979,-0.003248,2.450007,1
4.760097,-35.162962,38.320615,0.121439,5.824738,-0.611780,0.023977,29.478036,0,-7.688934,8.127998,0.013472,0.199246,-0.165927,-0.014596,2.923422,1
4.860127,-41.298416,39.126260,0.122099,-0.295006,0.186438,0.026315,0.113642,1,-7.648028,8.130623,0.044451,0.150453,-0.102309,0.007280,1.331690,1
4.960135,-42.061013,39.933584,0.126400,-0.261847,0.162553,0.035172,0.086761,1,-7.611794,8.131034,0.059644,0.132919,-0.111509,-0.016235,1.217000,1
5.070090,-42.891404,40.823115,0.129967,-0.297225,0.212463,0.040625,0.126231,1,-7.553619,8.134626,0.059336,0.137126,-0.112713,-0.013373,1.272884,1
5.170081,-43.643516,41.634059,0.129926,-0.200208,0.116071,0.048076,0.046424,1,-7.501360,8.148713,0.033340,0.122400,-0.091334,-0.031547,0.974301,1
5.270093,-44.392549,42.444156,0.131968,-0.183087,0.100903,0.040679,0.039450,1,-7.454382,8.162110,0.060945,0.108597,-0.077941,0.006435,0.726298,1
5.380096,-45.201230,43.332195,0.131506,-0.209652,0.148841,0.067470,0.072067,1,-7.526439,8.178466,-0.002602,0.036890,-0.002842,-0.101305,0.402442,1
5.480135,-45.936855,44.141901,0.125956,-0.128394,0.052056,0.069659,0.016569,1,-7.347842,8.188095,-0.005057,0.125931,-0.012974,-0.043589,0.714415,1
5.580136,-46.669591,44.953315,0.134110,-0.126012,0.039399,0.080533,0.016529,1,-7.285492,8.209937,0.018615,0.118276,-0.019599,-0.041541,0.640918,1
5.690106,-47.460282,45.864190,0.121775,-0.182119,0.111852,0.070758,0.043278,1,-7.206853,8.232366,0.022442,0.122985,-0.012954,-0.039193,0.671358,1
5.790123,-48.171639,46.694244,0.118666,-0.107041,0.033565,0.068113,0.010422,1,-7.135644,8.241008,0.018696,0.128231,-0.018259,-0.032774,0.718743,1
5.890303,-48.879958,47.538390,0.115030,0.509462,-0.658684,0.058436,0.894208,1,-7.060106,8.235721,0.019147,0.145042,-0.056331,-0.018677,1.053495,1
6.000126,-49.649338,48.465808,0.110249,0.460434,-0.557831,0.043191,0.608646,1,-6.964142,25.287239,0.006599,0.259575,16.955753,-0.027372,4224.380044,0
6.100183,-50.339407,49.300773,0.107521,0.407722,-0.457910,0.040808,0.441715,1,-6.886352,8.209901,0.016688,-0.047858,-0.052386,-0.019883,0.240341,1
6.210105,-51.084429,50.214485,0.111376,0.338953,-0.374831,0.039747,0.332115,1,-6.777847,8.193524,0.048432,0.064922,-0.045114,-0.014061,0.281293,1
6.310149,-51.750740,51.040607,0.112562,0.267433,-0.300777,0.038123,0.238255,1,-6.674620,8.163913,0.030045,0.127044,-0.070430,-0.011442,0.906215,1
6.410231,-52.410115,51.867365,0.112222,0.254734,-0.260526,0.029137,0.154294,1,-6.573987,0.408300,0.027357,0.278699,-7.850445,-0.014068,918.765198,0
6.520146,-53.120574,52.772631,0.111514,0.146827,-0.181355,0.031428,0.142949,1,-6.433752,8.080355,0.018223,0.277267,-0.112470,-0.018326,4.017070,1
6.620151,-53.753538,53.585576,0.110251,0.057125,-0.110284,0.034683,0.065679,1,-6.309479,8.018265,0.006089,0.269850,-0.145133,-0.020303,4.075047,1
6.730151,-54.428796,54.479428,0.104432,-0.012070,-0.038430,0.036840,0.024243,1,-6.175005,7.933010,0.000808,0.279593,-0.165024,-0.030302,4.514409,1
6.830142,-57.484153,55.274416,0.101575,-2.209453,0.018825,0.040779,5.074272,1,-6.055073,7.850430,0.009055,0.289627,-0.181687,-0.033117,4.924157,1
6.930228,-55.620648,56.060551,0.101242,0.157274,0.074511,0.046028,0.075428,1,-5.949196,7.751475,0.040620,0.259577,-0.212350,-0.038983,4.701050,1
7.030162,-56.198366,56.828912,0.103564,0.082620,0.120452,0.047825,0.039470,1,-5.830084,7.645524,0.050741,0.260537,-0.230060,-0.026520,4.972217,1
7.140192,-56.821025,57.658416,0.099409,0.017541,0.161559,0.045942,0.022285,1,-5.694084,7.516656,0.032097,0.272903,-0.257633,-0.030240,5.789301,1
7.240167,-57.382167,58.395672,0.094125,-0.047791,0.197257,0.049169,0.015739,1,-5.569833,7.396722,0.002724,0.266570,-0.263165,-0.039822,5.748283,1
7.340161,-57.934614,59.120078,0.089032,-0.097968,0.226723,0.054797,0.021406,1,-5.463275,7.282948,-0.013992,0.231202,-0.265283,-0.045088,5.070411,1
7.450401,-64.692095,59.910839,0.077684,-6.294563,0.269691,0.060905,33.950180,0,-5.370790,7.188636,-0.021363,0.162051,-0.235938,-0.049314,3.402176,1
7.550166,-59.073606,60.623552,0.070453,-0.151848,0.280851,0.061306,0.067295,1,-5.299378,7.124784,-0.007811,0.102326,-0.196519,-0.043794,2.048100,1
7.660183,-59.659466,61.404795,0.062963,-0.156814,0.285998,0.057336,0.078913,1,-5.220294,7.056225,0.005780,0.065461,-0.173176,-0.036747,1.435535,1
7.760190,-60.185261,62.110287,0.054681,-0.154662,0.291445,0.048267,0.086544,1,-5.152128,6.988758,0.021334,0.036619,-0.161973,-0.024045,1.134552,1
7.870195,-60.760913,62.879735,0.043987,-0.152466,0.300973,0.032933,0.089241,1,-5.088033,6.903795,0.033311,0.014148,-0.179108,-0.010900,1.313791,1
7.970230,-61.273553,63.563810,0.038879,-0.143736,0.307179,0.030576,0.088604,1,-5.025851,6.810931,0.035467,0.005994,-0.188028,-0.030953,1.463961,1
8.070203,-61.793582,64.232136,0.022907,-0.155763,0.304763,0.013292,0.090012,1,-4.943728,6.721037,0.017927,0.032229,-0.178769,-0.006495,1.331334,1
8.170207,-62.291283,64.893633,0.012405,-0.156693,0.305918,0.013147,0.088717,1,-4.861709,6.621482,-0.035057,0.045422,-0.182314,-0.025836,1.440601,1
8.280188,-62.826102,65.614755,0.008387,-0.637354,0.960814,0.017248,1.345871,1,-4.762958,6.516771,-0.042790,0.099724,-0.196120,-0.025600,1.861062,1
8.380222,-63.306727,66.257512,0.003050,-0.122579,0.233197,0.024847,0.046885,1,-4.660171,6.420440,-0.013092,0.060767,-0.152730,-0.051688,1.199571,1
8.480250,-63.768574,66.893539,0.000246,-0.128708,0.243375,0.029087,0.051891,1,-4.562483,6.311398,0.010331,0.071888,-0.153936,-0.037708,1.227069,1
8.590220,-64.262226,67.576875,-0.005946,-0.138446,0.251229,0.028241,0.053723,1,-4.446031,6.181330,0.012978,0.099226,-0.161620,-0.035253,1.513706,1
8.690224,-64.701410,68.186945,-0.007803,-0.152174,0.259292,0.031682,0.060541,1,-4.334544,6.062660,0.014292,0.113241,-0.157356,-0.035875,1.574831,1
8.800431,-65.167767,68.839514,-0.010432,-0.160863,0.268131,0.032445,0.060893,1,-4.219593,5.913655,0.018738,0.121280,-0.186178,-0.033944,2.054986,1
8.900402,-65.577828,69.414853,-0.010595,-0.167698,0.276229,0.039404,0.066882,1,-4.111889,5.772122,0.014340,0.120207,-0.187280,-0.045458,2.086025,1
9.000274,-65.972152,69.969704,-0.008102,-0.172452,0.275081,0.045040,0.069534,1,-3.992650,5.635394,0.020274,0.128975,-0.176118,-0.038170,1.982768,1
9.110191,-66.394832,70.564116,-0.006244,-0.178390,0.274878,0.046775,0.068603,1,-3.864166,5.477266,0.015080,0.133738,-0.187497,-0.029176,2.185711,1
9.210240,-66.769298,71.093191,-0.004629,-0.184544,0.280015,0.049790,0.074049,1,-3.753807,5.331488,0.012181,0.126701,-0.187910,-0.032842,2.119587,1
9.310270,-67.129298,71.610158,-0.002678,-0.187076,0.282767,0.052715,0.079751,1,-3.636629,5.189772,0.007956,0.125017,-0.172162,-0.031758,1.865896,1
9.420547,-67.509725,72.161259,-0.001673,-0.183909,0.283069,0.055474,0.078362,1,-3.510400,5.031625,0.001350,0.117747,-0.177341,-0.034813,1.882887,1
9.520273,-67.845882,72.645187,0.000797,-0.180259,0.284202,0.058360,0.082576,1,-3.406396,4.889180,0.002233,0.094482,-0.170143,-0.030593,1.566730,1
9.620283,-68.171096,73.114692,0.006945,-0.173535,0.280339,0.064451,0.083108,1,-3.294719,4.751507,-0.001648,0.082244,-0.157312,-0.030679,1.306846,1
9.730279,-68.526030,73.614171,0.006997,-0.173133,0.274125,0.063021,0.081196,1,-3.178268,4.598568,-0.000643,0.072061,-0.154226,-0.026864,1.201733,1
9.830294,-68.838807,74.056027,0.004501,-0.172465,0.269884,0.059809,0.081891,1,-3.068902,4.458671,-0.003554,0.064564,-0.141901,-0.025758,1.007560,1
9.930420,-69.137468,74.485422,0.005645,-0.165958,0.263802,0.055118,0.080586,1,-2.963049,4.322717,0.008928,0.053394,-0.129284,-0.011547,0.794653,1
10.040240,-69.451741,74.944411,0.006079,-0.157096,0.260419,0.053574,0.076620,1,-2.848585,4.173198,0.000504,0.043423,-0.127433,-0.020922,0.751151,1
10.140344,-69.730862,75.347375,0.001478,-0.150031,0.254747,0.047650,0.074631,1,-2.746460,4.036632,-0.006300,0.033516,-0.115341,-0.017161,0.594286,1
10.240264,-70.004810,75.735985,-0.004816,-0.145576,0.247204,0.042741,0.072328,1,-2.647854,3.903448,-0.014791,0.021033,-0.105431,-0.020550,0.482040,1
10.350330,-70.297340,76.145340,-0.012850,-0.137839,0.234295,0.036518,0.068231,1,-2.547751,3.763995,-0.015266,-0.007347,-0.095646,-0.018566,0.385563,1
10.450518,-70.553497,76.500962,-0.020456,-0.122165,0.216281,0.029968,0.060854,1,-2.467806,3.647120,-0.015546,-0.033822,-0.079770,-0.012232,0.308694,1
10.550344,-70.805286,76.847357,-0.027383,-0.108156,0.197864,0.022388,0.054482,1,-2.388094,3.536551,-0.012315,-0.052597,-0.056210,-0.003794,0.239299,1
10.660331,-71.072241,77.216014,-0.033921,-0.118539,0.162317,0.014931,0.046000,1,-4.882132,3.417275,-0.012089,-2.690301,-0.064866,-0.001630,112.032319,0
10.760340,-71.300709,77.537638,-0.038025,-0.085966,0.150326,0.009147,0.036184,1,-2.215014,3.302809,-0.013859,-0.088472,-0.052016,0.005577,0.452799,1
10.870347,-71.542678,77.876470,-0.042586,-0.064184,0.135568,0.005820,0.025701,1,-2.125846,3.171317,-0.013582,-0.072971,-0.044719,-0.001000,0.309942,1
10.970383,-71.748517,76.938568,-0.042432,-0.042742,-0.975723,0.006172,1.101008,1,-2.041851,3.070011,-0.009091,-0.058511,-0.018996,0.000141,0.157696,1
11.070340,-71.947313,78.460925,-0.044452,-0.028119,0.236934,0.005331,0.056669,1,-1.958411,2.920510,-0.010671,-0.048370,-0.045846,-0.002219,0.183356,1
11.180344,-72.151779,79.707954,-0.042959,-0.012426,1.058834,0.007889,1.205809,1,-1.870734,2.776546,-0.015824,-0.046911,-0.068611,-0.001139,0.284306,1
11.280343,-72.329173,79.021375,-0.041724,-0.175048,0.371819,0.008475,0.154718,1,-1.794400,2.654793,-0.021602,0.020640,-0.126131,-0.003290,0.631273,1
11.380360,-72.497234,79.275262,-0.043179,-0.150154,0.346061,0.006531,0.140384,1,-1.716254,2.546813,-0.026338,-0.010020,-0.084943,0.005642,0.285297,1
11.490321,-72.673087,79.544453,-0.045252,0.040877,0.078045,0.006882,0.009375,1,-1.634440,2.434846,-0.024911,-0.125509,0.028461,0.011634,0.695983,1
11.590373,-72.822845,79.772995,-0.043280,0.071426,0.059565,0.005194,0.006115,1,-1.563777,2.331476,-0.021785,-0.115918,0.021011,0.018104,0.585869,1
11.690369,-72.966847,79.992047,-0.042186,0.095773,0.045368,0.004040,0.006194,1,-1.495983,2.228575,-0.024923,-0.111869,0.016196,0.015497,0.532637,1
11.800482,-73.120877,80.220816,-0.044319,0.109221,0.032510,0.000585,0.007538,1,-1.419663,2.116248,-0.020692,-0.096464,0.016728,0.013824,0.400085,1
11.900514,-73.255774,80.419142,-0.047337,0.119505,0.023457,-0.004218,0.008848,1,-1.354289,2.011372,-0.021493,-0.092299,0.011552,0.016102,0.362445,1
12.010347,-73.393860,80.625093,-0.050378,0.128209,0.013978,-0.006861,0.010512,1,-1.279982,1.901975,-0.022873,-0.088303,0.018303,0.012380,0.337546,1
