t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,0.000067,0.000083,-0.000049,0.006733,0.008283,-0.004868,0.999999,-0.000003,-0.000067,0.001126,3.3015552776
0.099840,0.005877,0.009534,0.004275,0.065041,0.105672,0.047857,0.999941,0.001486,-0.000192,0.010764,2.5577417322
0.209860,-0.306505,0.394112,0.002515,0.156460,0.264741,0.074296,0.999760,0.003242,0.001388,0.021604,1.8915296121
0.309867,-0.283318,0.436814,0.005431,0.231859,0.426994,0.029159,0.999517,0.002675,0.003796,0.030730,1.9115807492
0.419909,-0.491831,0.718524,-0.001827,0.284257,0.618325,-0.004977,0.999180,-0.000381,0.006733,0.039931,1.7473686001
0.519881,-0.738504,1.016351,-0.007639,0.299262,0.723480,0.008450,0.998810,-0.003003,0.009140,0.047803,1.6311245406
0.619861,-1.001992,1.318836,-0.015207,0.295831,0.798022,-0.000200,0.998391,-0.004181,0.010771,0.055506,1.5487573953
0.729878,-1.279423,1.641597,-0.023573,0.266623,0.939625,-0.007031,0.997942,-0.003311,0.010826,0.063122,1.4956721930
0.829870,-1.589887,1.980531,-0.038276,0.189949,1.144259,-0.072509,0.997575,-0.004664,0.010246,0.068684,1.4557814782
0.940008,-2.264124,2.576239,-0.072911,0.041836,1.313896,-0.162062,0.997227,-0.008529,0.006965,0.073606,1.3662599083
1.039852,-2.260672,2.712502,-0.086092,0.034576,1.364772,-0.132019,0.996875,-0.012860,0.003278,0.077871,1.4297245903
1.139892,-2.630027,3.051641,-0.097977,-0.064751,1.496985,-0.055791,0.996527,-0.016434,0.000410,0.081626,1.4272484584
1.239834,-3.010432,3.394322,-0.106319,-0.155991,1.622158,-0.012030,0.996220,-0.019645,0.000335,0.084610,1.4326775922
1.349921,-3.407986,3.753955,-0.117253,-0.276557,1.698665,-0.035052,0.995999,-0.021051,0.002561,0.086808,1.4527806048
1.449915,-3.830237,4.101994,-0.121745,-0.425034,1.783668,0.019970,0.995876,-0.021400,0.005360,0.088004,1.4711416975
1.559907,-4.268361,4.479592,-0.123268,-0.574952,1.952398,0.048692,0.995744,-0.023044,0.010247,0.088643,1.5044160786
1.659881,-4.724700,4.845729,-0.132282,-0.758530,2.083173,-0.019157,0.995551,-0.026423,0.015147,0.089170,1.5286995398
1.759899,-5.189451,5.208078,-0.149815,-0.942680,2.159996,-0.121194,0.995362,-0.029333,0.018811,0.089668,1.5548195167
1.869934,-5.681264,5.580092,-0.170049,-1.208141,2.163759,-0.150531,0.995332,-0.028251,0.019163,0.090266,1.5966611274
1.970187,-6.180527,5.929353,-0.189978,-1.479669,2.185391,-0.150022,0.995370,-0.026346,0.014732,0.091253,1.6279139527
2.069939,-6.677809,6.288999,-0.218046,-1.741203,2.363116,-0.220846,0.995373,-0.027585,0.005306,0.091884,1.6575263836
2.179894,-8.747594,7.309318,-0.261039,-3.584609,3.146164,-0.328191,0.994149,-0.048659,-0.031024,0.091316,0.9620269510
2.279965,-9.139625,7.531095,-0.309291,-3.775995,3.122738,-0.378504,0.993483,-0.052848,-0.042365,0.091669,0.8420302852
2.379980,-9.430299,7.778413,-0.337461,-3.868200,3.065278,-0.301398,0.993111,-0.051788,-0.050503,0.092186,0.7839437019
2.490002,-9.728386,8.131072,-0.381600,-3.931252,3.216190,0.013411,0.993280,-0.047334,-0.050783,0.092604,0.7519892117
2.589901,-9.985697,8.413941,-0.423081,-3.942014,3.335287,0.153251,0.993732,-0.043806,-0.044372,0.092780,0.7254748503
2.700049,-10.324361,8.696798,-0.392898,-3.959404,3.365682,0.088637,0.994107,-0.041457,-0.036583,0.093248,0.7055907028
2.799963,-10.643024,8.935617,-0.322053,-3.930068,3.336402,-0.010796,0.994278,-0.039523,-0.032862,0.093644,0.6865201509
2.900050,-10.992003,9.179621,-0.278322,-3.932822,3.203660,-0.048659,0.994369,-0.037509,-0.031672,0.093916,0.6709288772
3.009989,-11.395180,9.500788,-0.273376,-3.955713,3.172569,-0.071493,0.994337,-0.035076,-0.033557,0.094544,0.6595608489
