t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,-0.000000,-0.000002,0.000000,-0.000421,-0.001748,0.000211,0.000000,1,0.078670,0.326903,-0.039402,0.022286,0.090531,-0.010981,0.771717,1
0.100134,0.011484,0.032070,-0.007034,0.002205,0.000093,-0.001880,0.000033,1,0.083524,0.340838,-0.040781,0.010017,0.017298,-0.004470,0.023640,1
0.200061,0.021569,0.064755,-0.014679,0.003198,-0.000539,-0.003079,0.000114,1,0.074167,0.348875,-0.045919,-0.012582,-0.054683,0.001662,0.150287,1
0.310030,-29.922674,0.096312,-0.024850,-29.950963,-0.004329,-0.006642,588.283968,0,0.084529,0.307066,-0.059432,-0.047248,-0.119982,0.002623,0.731730,1
0.410007,0.043357,0.114583,-0.032700,0.009967,0.005882,-0.005502,0.000950,1,0.088875,0.234268,-0.061618,-0.078854,-0.161137,0.000923,1.351402,1
0.510025,0.046146,0.120868,-1.115584,0.015504,0.013598,-0.739561,0.800408,1,0.060276,0.143781,-0.057859,-0.135721,-0.187863,0.004093,2.201752,1
0.620134,0.046874,0.117890,-0.045441,0.023908,0.026694,0.236728,0.081522,1,0.039552,0.014416,-0.050455,-0.193807,-0.253368,0.003368,4.145483,1
0.720089,0.044607,0.096602,-0.047897,0.031113,0.041405,0.172909,0.041535,1,0.045286,-0.120786,-0.037298,-0.190860,-0.292663,-0.008976,4.955677,1
0.820059,0.042444,0.066844,-0.047684,0.040277,0.054408,0.128654,0.022924,1,0.029829,-0.232760,-0.016403,-0.200409,-0.271439,0.002270,4.625138,1
0.930042,0.033912,0.013447,-0.048279,0.048787,0.061992,0.098914,0.012857,1,-0.006999,-0.379956,-0.024197,-0.230602,-0.281763,-0.009448,5.436256,1
1.030058,0.025214,-0.050121,-0.048843,0.060973,0.074967,0.077550,0.007691,1,-0.018247,-0.527523,-0.023425,-0.232275,-0.286731,-0.010084,5.598602,1
1.130122,0.012945,-0.132316,-0.050674,0.074219,0.087030,0.063031,0.004906,1,-0.043419,-0.706626,-0.032723,-0.252028,-0.286564,-0.020753,6.013164,1
1.240076,-0.005278,-0.246128,-0.048935,0.087046,0.095885,0.055879,0.003742,1,-0.085388,-0.909528,-0.027570,-0.273827,-0.291920,-0.029897,6.693090,1
1.340106,-0.023151,-0.366274,-0.047043,0.104384,0.110676,0.051667,0.004679,1,-0.119234,-1.106203,-0.021432,-0.271166,-0.281978,-0.038603,6.374485,1
1.440041,-0.052176,-0.507602,-0.040298,0.115627,0.117460,0.051751,0.006804,1,-0.173954,-1.295254,-0.007183,-0.270305,-0.247021,-0.039791,5.584076,1
1.550100,-0.088978,-0.680747,-0.651956,0.130353,0.122175,-0.443685,0.260716,1,-0.260438,-1.504229,-0.001208,-0.288517,-0.217393,-0.042261,5.489952,1
1.650197,-0.134679,-0.863623,-0.028091,0.145930,0.122169,0.150329,0.033429,1,-0.343168,-1.700252,0.002603,-0.291567,-0.191807,-0.041000,5.117180,1
1.750079,-0.184627,-1.066973,-0.025360,0.162541,0.121890,0.132048,0.029427,1,-0.424032,-1.905790,-0.011897,-0.286169,-0.182456,-0.050400,4.858450,1
1.860117,-0.249949,-50.379877,-0.021729,0.195962,-48.929548,0.140495,1949.414664,0,-0.516029,-2.132370,-0.008201,-0.281423,-0.169998,-0.036151,4.549838,1
