t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.000036,0.000048,-0.000016,-0.003563,0.004762,-0.001598,1.000000,0.000039,0.000023,0.000023,3.3015556077
0.110016,-0.003487,0.005194,0.000029,-0.034685,0.051709,0.000371,1.000000,0.000408,-0.000077,0.000160,2.5587371120
0.210064,-0.754755,0.371814,-0.009926,-0.075987,0.111372,-0.004718,1.000000,0.000835,-0.000368,0.000310,2.1572740956
0.310176,-1.743504,0.856671,-0.037552,-0.143242,0.178392,-0.015464,0.999999,0.001200,-0.000581,0.000561,1.9077503059
0.419992,-2.860448,1.404915,-0.048264,-0.250409,0.260456,-0.019034,0.999998,0.001738,-0.000965,0.000963,1.7434285924
0.530098,-4.097593,2.010690,-0.056485,-0.376042,0.356304,-0.005508,0.999995,0.002043,-0.001651,0.001465,1.6335654646
0.630043,-5.390815,2.641083,-0.063733,-0.531814,0.468721,-0.004557,0.999993,0.001938,-0.002400,0.001955,1.5594003789
0.730101,-5.447287,2.693521,-0.063505,-0.564394,0.524078,0.002277,0.999992,0.001842,-0.002897,0.002258,1.6053939864
0.840059,-5.512463,2.757691,-0.061663,-0.592733,0.583589,0.016750,0.999990,0.001630,-0.003455,0.002391,1.6660154789
0.940078,-5.574428,2.821002,-0.057986,-0.619531,0.632989,0.036767,0.999989,0.001434,-0.003703,0.002371,1.7308117977
1.040067,-5.638594,2.888827,-0.053689,-0.641725,0.678317,0.042972,0.999991,0.001147,-0.003659,0.002056,1.8049679620
1.140056,-5.705608,2.960800,-0.049776,-0.670227,0.719816,0.039140,0.999994,0.000760,-0.003433,0.000106,1.8889776983
1.250072,-5.783741,3.042447,-0.046078,-0.710193,0.742132,0.033606,0.999994,0.000235,-0.003180,-0.000966,1.9934802018
1.350063,-5.859044,3.117276,-0.043127,-0.753095,0.748364,0.029519,0.999994,-0.000270,-0.002945,-0.002038,2.1001674489
1.450121,-5.938432,3.193622,-0.041096,-0.793417,0.763014,0.020298,0.999991,-0.000504,-0.002577,-0.003260,2.2185926465
1.560088,-6.030648,3.277356,-0.040440,-0.838582,0.761446,0.005965,0.999986,-0.000931,-0.002495,-0.004626,2.3629060033
1.660090,-6.118900,3.352732,-0.039462,-0.882509,0.753749,0.009776,0.999977,-0.001249,-0.002998,-0.005949,2.5084345904
1.760150,-6.211585,3.427664,-0.036681,-0.926292,0.748868,0.027796,0.999966,-0.001594,-0.003404,-0.007339,2.6684995486
1.870150,-6.318549,3.508563,-0.032945,-0.972399,0.735447,0.033966,0.999949,-0.002423,-0.003388,-0.009225,2.8612786264
1.970110,-6.420127,3.579618,-0.029512,-1.016179,0.710831,0.034340,0.999926,-0.003190,-0.003204,-0.011328,3.0530484954
2.080099,-6.536756,3.653851,-0.026481,-1.060374,0.674910,0.027555,0.999893,-0.003783,-0.003188,-0.013750,3.2831201805
2.180091,-6.647054,3.718307,-0.023915,-1.103066,0.644608,0.025664,0.999858,-0.004199,-0.003287,-0.016003,3.5113214483
