t,scale_R_gps,scale_Q,scale_gate
0.000000,1.000000,1.000000,0.985000
0.109964,1.000000,1.000000,0.973683
0.209984,1.000000,1.000000,0.962630
0.310187,1.000000,1.000000,0.953236
0.419966,1.000000,1.000000,0.945250
0.519922,1.000000,1.000000,0.938463
0.619878,1.000000,1.000000,0.932693
0.729880,1.000000,1.000000,0.927789
0.830055,1.000000,1.000000,0.925795
0.939844,1.000000,1.000000,0.922546
1.039832,1.000000,1.000000,0.919164
1.139837,1.000000,1.000000,0.916290
1.249806,1.000000,1.000000,0.913846
1.350018,1.000000,1.000000,0.917487
1.459764,1.000000,1.000000,0.925971
1.559777,1.000000,1.000000,0.930072
1.659764,1.000000,1.000000,0.925561
1.769749,1.000000,1.000000,0.921727
1.869825,1.000000,1.000000,0.918468
1.969685,1.000000,1.000000,0.915698
2.079717,1.000000,1.000000,0.913343
2.179675,1.000000,1.000000,0.911342
2.289676,1.000000,1.000000,0.909640
2.389690,1.000000,1.000000,0.908194
2.489656,1.000000,1.000000,0.908380
2.599665,1.000000,1.000000,0.911442
2.699619,1.000000,1.000000,0.911229
2.799741,1.000000,1.000000,0.909544
2.909671,1.000000,1.000000,0.908113
3.009596,1.000000,1.000000,0.912834
3.119597,1.009103,1.000000,0.925909
3.219556,1.042782,1.000000,0.937022
3.319722,1.067081,1.000000,0.946469
3.429567,1.067179,1.000000,0.954499
3.529478,1.057102,1.000000,0.956266
3.639503,1.048537,1.000000,0.960997
3.739458,1.057005,1.000000,0.966848
3.839600,1.075585,1.000000,0.971821
3.949440,1.098486,1.000000,0.976047
4.049436,1.104314,1.000000,0.979640
4.159418,1.088667,1.000000,0.976973
4.259426,1.075367,1.000000,0.966348
4.359522,1.064062,1.000000,0.970673
4.469381,1.081832,1.000000,0.975072
4.569439,1.105793,1.000000,0.978811
4.669364,1.102324,1.000000,0.981989
4.779394,1.086976,1.000000,0.972532
4.879381,1.073929,1.000000,0.961652
4.989383,1.062840,1.000000,0.952404
5.089302,1.053414,1.000000,0.952776
5.189302,1.045402,1.000000,0.955591
5.299480,1.038592,1.000000,0.950616
5.399310,1.032803,1.000000,0.944244
5.509256,1.027882,1.000000,0.937608
5.609263,1.023700,1.000000,0.931966
5.709286,1.020145,1.000000,0.927172
5.819434,1.017123,1.000000,0.923682
5.919254,1.014555,1.000000,0.928045
6.029187,1.012372,1.000000,0.932736
6.129193,1.010516,1.000000,0.933661
6.229153,1.008938,1.000000,0.932186
6.339264,1.007598,1.000000,0.927358
6.439140,1.006458,1.000000,0.926833
6.549175,1.005489,1.000000,0.926458
6.649093,1.004666,1.000000,0.925173
6.749108,1.003966,1.000000,0.928128
6.859130,1.007430,1.000000,0.938909
6.959093,1.011410,1.000000,0.948073
7.059062,1.009698,1.000000,0.955581
7.169095,1.008244,1.000000,0.958459
7.269128,1.027824,1.000000,0.964690
7.379050,1.093696,1.000000,0.969987
7.479009,1.079642,1.000000,0.974489
7.578995,1.067695,1.000000,0.978315
7.689010,1.057541,1.000000,0.981568
7.788965,1.048910,1.000000,0.984333
7.889013,1.041573,1.000000,0.986683
7.998999,1.035337,1.000000,0.988680
8.099080,1.030037,1.000000,0.990378
8.208919,1.025531,1.000000,0.991822
8.309080,1.021702,1.000000,0.993048
8.408903,1.018446,1.000000,0.994091
8.518855,1.015679,1.000000,0.994977
8.618877,1.013327,1.000000,0.995731
8.728888,1.011328,1.000000,0.996371
8.829044,1.009629,1.000000,0.996916
8.928825,1.008185,1.000000,0.997378
9.038821,1.006957,1.000000,0.997771
9.138778,1.005913,1.000000,0.998106
9.238792,1.005026,1.000000,0.998390
9.349033,1.004272,1.000000,0.998631
9.448754,1.003632,1.000000,0.998837
9.558753,1.003087,1.000000,0.999011
9.658744,1.002624,1.000000,0.999160
9.758724,1.002230,1.000000,0.999286
9.868768,1.001896,1.000000,0.999393
9.968740,1.001611,1.000000,0.999484
10.078678,1.001370,1.000000,0.999561
10.178674,1.001164,1.000000,0.999627
10.278641,1.000990,1.000000,0.999683
10.388727,1.069345,1.000000,0.999731
10.488642,1.101994,1.000000,0.999771
10.588664,1.128089,1.000000,0.999805
10.698721,1.151933,1.000000,0.999835
10.798717,1.165190,1.000000,0.999859
10.908617,1.140411,1.000000,0.990628
11.008564,1.119349,1.000000,0.984858
11.108580,1.105873,1.000000,0.987129
11.218528,1.105858,1.000000,0.989060
11.318696,1.100352,1.000000,0.990701
11.428501,1.085299,1.000000,0.990291
11.528460,1.077047,1.000000,0.991747
11.628465,1.084756,1.000000,0.992985
11.738462,1.115426,1.000000,0.994037
11.838507,1.098112,1.000000,0.994932
11.938439,1.083395,1.000000,0.995692
12.048405,1.070886,1.000000,0.996338
12.148416,1.060253,1.000000,0.996887
12.258367,1.051215,1.000000,0.997354
12.358418,1.043533,1.000000,0.997751
12.458376,1.037003,1.000000,0.998088
12.568379,1.031453,1.000000,0.998375
12.668429,1.026735,1.000000,0.998619
12.778327,1.022724,1.000000,0.998826
12.878362,1.019316,1.000000,0.999002
12.978293,1.016418,1.000000,0.999152
13.088334,1.013956,1.000000,0.999279
13.188273,1.011862,1.000000,0.999387
13.288299,1.010083,1.000000,0.999479
13.398376,1.008571,1.000000,0.999557
13.498273,1.007285,1.000000,0.999624
13.608370,1.006192,1.000000,0.999680
13.708227,1.005263,1.000000,0.999728
13.808464,1.079430,1.000000,0.999769
13.918202,1.115501,1.000000,0.999804
14.018188,1.136064,1.000000,0.999833
14.128161,1.155853,1.000000,0.999858
14.228228,1.170418,1.000000,0.999879
14.328204,1.172295,1.000000,0.999897
14.438141,1.146451,1.000000,0.985321
14.538134,1.124483,1.000000,0.972523
14.638092,1.105811,1.000000,0.961644
14.748071,1.089939,1.000000,0.952398
14.848113,1.076448,1.000000,0.944538
14.958050,1.064981,1.000000,0.937857
15.058052,1.055234,1.000000,0.932179
15.158023,1.046949,1.000000,0.927352
15.268028,1.039906,1.000000,0.923249
15.368086,1.033921,1.000000,0.919762
15.478002,1.028832,1.000000,0.916798
15.577976,1.024508,1.000000,0.914278
15.677951,1.020831,1.000000,0.912136
15.787971,1.017707,1.000000,0.910316
15.887984,1.015051,1.000000,0.908768
15.987926,1.012793,1.000000,0.907453
16.097946,1.010874,1.000000,0.906335
16.197972,1.009243,1.000000,0.905385
16.308036,1.007857,1.000000,0.905892
16.407912,1.006678,1.000000,0.905008
16.507931,1.005676,1.000000,0.904257
16.617853,1.004825,1.000000,0.903618
16.717826,1.004101,1.000000,0.903076
16.818028,1.003486,1.000000,0.902614
16.927811,1.002963,1.000000,0.909194
17.027763,1.002519,1.000000,0.907815
17.137770,1.002141,1.000000,0.906643
17.237751,1.001820,1.000000,0.905646
17.338044,1.001547,1.000000,0.904799
17.447745,1.001315,1.000000,0.904079
17.547724,1.001118,1.000000,0.903468
17.657709,1.000950,1.000000,0.902947
17.757689,1.000807,1.000000,0.902505
17.857762,1.000686,1.000000,0.902130
17.967680,1.000583,1.000000,0.901810
18.067716,1.000496,1.000000,0.901539
18.177638,1.000421,1.000000,0.902111
18.277637,1.000358,1.000000,0.901953
18.377638,1.000305,1.000000,0.901660
18.487603,1.000259,1.000000,0.901411
18.587589,1.000220,1.000000,0.901199
18.697651,1.000187,1.000000,0.901019
18.797623,1.000159,1.000000,0.900866
18.897650,1.000135,1.000000,0.906735
19.007586,1.000115,1.000000,0.916342
19.107580,1.000098,1.000000,0.918917
19.207513,1.000083,1.000000,0.918318
19.317665,1.000071,1.000000,0.915571
19.417528,1.000060,1.000000,0.913235
19.527475,1.000051,1.000000,0.911250
19.627503,1.000043,1.000000,0.910491
19.727469,1.000037,1.000000,0.913719
19.837508,1.000031,1.000000,0.914532
19.937431,1.000027,1.000000,0.912352
20.037400,1.000023,1.000000,0.910499
20.147420,1.000019,1.000000,0.908924
20.247371,1.000016,1.000000,0.912498
20.357382,1.000014,1.000000,0.918497
20.457362,1.000012,1.000000,0.917525
20.557335,1.000010,1.000000,0.914896
20.667321,1.000009,1.000000,0.912662
20.767307,1.000007,1.000000,0.910762
20.877349,1.000006,1.000000,0.909148
20.977290,1.000005,1.000000,0.907776
21.077268,1.000004,1.000000,0.909575
21.187293,1.000004,1.000000,0.909568
21.287233,1.000003,1.000000,0.908133
21.387276,1.000003,1.000000,0.906913
21.497337,1.000002,1.000000,0.905876
21.597383,1.000002,1.000000,0.904994
21.707168,1.000002,1.000000,0.904867
21.807358,1.000001,1.000000,0.904137
21.907310,1.000001,1.000000,0.903516
22.017136,1.000001,1.000000,0.902989
22.117118,1.000001,1.000000,0.902541
22.227128,1.000001,1.000000,0.902159
22.327173,1.000001,1.000000,0.901836
22.427104,1.000001,1.000000,0.901560
22.537092,1.000000,1.000000,0.901326
22.637048,1.000000,1.000000,0.901127
22.737062,1.000000,1.000000,0.900958
22.847069,1.000000,1.000000,0.900814
22.947064,1.000000,1.000000,0.900692
23.057003,1.000000,1.000000,0.900588
23.157010,1.000000,1.000000,0.900500
23.257009,1.000000,1.000000,0.900773
23.367025,1.000000,1.000000,0.900657
23.467024,1.000000,1.000000,0.900558
23.576983,1.000000,1.000000,0.900475
23.676969,1.000000,1.000000,0.900403
23.776932,1.000000,1.000000,0.900343
23.887012,1.000000,1.000000,0.900291
23.986899,1.000000,1.000000,0.900248
24.097046,1.000000,1.000000,0.900211
24.196902,1.000000,1.000000,0.900179
24.297108,1.000000,1.000000,0.900152
24.406877,1.000000,1.000000,0.900129
24.506871,1.000000,1.000000,0.900110
24.616817,1.000000,1.000000,0.900093
24.716844,1.000000,1.000000,0.900079
24.816904,1.000000,1.000000,0.900067
24.926774,1.000000,1.000000,0.900057
25.026821,1.000000,1.000000,0.900049
25.126774,1.000000,1.000000,0.900041
25.236745,1.000000,1.000000,0.900035
25.336896,1.000000,1.000000,0.900030
25.446759,1.000000,1.000000,0.900025
25.546714,1.000000,1.000000,0.900022
25.646703,1.000000,1.000000,0.900018
25.756645,1.000000,1.000000,0.900016
25.856716,1.000000,1.000000,0.900013
25.966638,1.000000,1.000000,0.900011
26.066646,1.000000,1.000000,0.900960
26.166635,1.000000,1.000000,0.900816
26.276607,1.000000,1.000000,0.900694
26.376645,1.000000,1.000000,0.900590
26.476572,1.000000,1.000000,0.900501
26.586665,1.000000,1.000000,0.900426
26.686552,1.000000,1.000000,0.900362
26.796610,1.000000,1.000000,0.900308
26.896737,1.000000,1.000000,0.900262
26.996531,1.000000,1.000000,0.900222
27.106507,1.000000,1.000000,0.900189
27.206486,1.000000,1.000000,0.900161
27.316565,1.000000,1.000000,0.902771
27.416513,1.000000,1.000000,0.902356
27.516475,1.000000,1.000000,0.902002
27.626434,1.000000,1.000000,0.901702
27.726424,1.000000,1.000000,0.901447
27.826443,1.000000,1.000000,0.901230
27.936397,1.000000,1.000000,0.901321
28.036377,1.000000,1.000000,0.901123
28.146416,1.000000,1.000000,0.900954
28.246351,1.000000,1.000000,0.900811
28.346444,1.000000,1.000000,0.900689
28.456335,1.000000,1.000000,0.900586
28.556330,1.000000,1.000000,0.900498
28.666304,1.000000,1.000000,0.900423
28.766285,1.000000,1.000000,0.900360
28.866404,1.000000,1.000000,0.900306
28.976294,1.000000,1.000000,0.900260
29.076245,1.000000,1.000000,0.900221
29.176233,1.000000,1.000000,0.900188
29.286257,1.000000,1.000000,0.900160
29.386236,1.000000,1.000000,0.902490
29.496373,1.000000,1.000000,0.913938
