t,scale_R_gps,scale_Q,scale_gate
0.000000,1.000000,1.000000,0.985000
0.109964,1.000000,1.000000,0.973683
0.209984,1.000000,1.000000,0.962630
0.310187,1.000000,1.000000,0.953236
0.419966,1.000000,1.000000,0.945250
0.519922,1.000000,1.000000,0.938463
0.619878,1.000000,1.000000,0.932693
0.729880,1.000000,1.000000,0.927789
0.830055,1.000000,1.000000,0.925856
0.939844,1.000000,1.000000,0.922605
1.039832,1.000000,1.000000,0.919214
1.139837,1.000000,1.000000,0.916332
1.249806,1.000000,1.000000,0.913882
1.350018,1.000000,1.000000,0.917924
1.459764,1.000000,1.000000,0.926553
1.559777,1.000000,1.000000,0.930667
1.659764,1.000000,1.000000,0.926067
1.769749,1.000000,1.000000,0.922157
1.869825,1.000000,1.000000,0.918833
1.969685,1.000000,1.000000,0.916008
2.079717,1.000000,1.000000,0.913607
2.179675,1.000000,1.000000,0.911566
2.289676,1.000000,1.000000,0.909831
2.389690,1.000000,1.000000,0.908356
2.489656,1.000000,1.000000,0.908491
2.599665,1.000000,1.000000,0.911689
2.699619,1.000000,1.000000,0.911700
2.799741,1.000000,1.000000,0.909945
2.909671,1.000000,1.000000,0.908453
3.009596,1.000000,1.000000,0.912976
3.119597,1.009006,1.000000,0.926029
3.219556,1.043021,1.000000,0.937125
3.319722,1.067833,1.000000,0.946556
3.429567,1.068360,1.000000,0.954573
3.529478,1.058106,1.000000,0.956477
3.639503,1.049390,1.000000,0.961062
3.739458,1.057449,1.000000,0.966903
3.839600,1.075929,1.000000,0.971868
3.949440,1.098977,1.000000,0.976087
4.049436,1.105163,1.000000,0.979674
4.159418,1.089389,1.000000,0.977234
4.259426,1.075980,1.000000,0.966499
4.359522,1.064583,1.000000,0.970567
4.469381,1.081985,1.000000,0.974982
4.569439,1.105904,1.000000,0.978735
4.669364,1.102613,1.000000,0.981925
4.779394,1.087221,1.000000,0.972624
4.879381,1.074138,1.000000,0.961730
4.989383,1.063017,1.000000,0.952471
5.089302,1.053565,1.000000,0.952642
5.189302,1.045530,1.000000,0.955365
5.299480,1.038700,1.000000,0.953594
5.399310,1.032895,1.000000,0.945555
5.509256,1.027961,1.000000,0.938722
5.609263,1.023767,1.000000,0.932914
5.709286,1.020202,1.000000,0.931513
5.819434,1.017172,1.000000,0.936497
5.919254,1.014596,1.000000,0.942416
6.029187,1.012406,1.000000,0.942043
6.129193,1.010545,1.000000,0.938011
6.229153,1.008964,1.000000,0.936231
6.339264,1.007619,1.000000,0.934663
6.439140,1.006476,1.000000,0.930949
6.549175,1.005505,1.000000,0.930921
6.649093,1.004679,1.000000,0.934968
6.749108,1.003977,1.000000,0.939267
6.859130,1.003381,1.000000,0.936153
6.959093,1.002874,1.000000,0.931856
7.059062,1.005316,1.000000,0.942078
7.169095,1.057998,1.000000,0.950766
7.269128,1.124298,1.000000,0.958151
7.379050,1.180653,1.000000,0.964428
7.479009,1.228555,1.000000,0.969764
7.578995,1.269272,1.000000,0.974300
7.689010,1.303881,1.000000,0.978155
7.788965,1.333299,1.000000,0.981431
7.889013,1.358304,1.000000,0.984217
7.998999,1.379559,1.000000,0.986584
8.099080,1.397625,1.000000,0.988597
8.208919,1.412981,1.000000,0.990307
8.309080,1.426034,1.000000,0.991761
8.408903,1.437129,1.000000,0.992997
8.518855,1.446559,1.000000,0.994047
8.618877,1.454576,1.000000,0.994940
8.728888,1.461389,1.000000,0.995699
8.829044,1.467181,1.000000,0.996344
8.928825,1.472104,1.000000,0.996893
9.038821,1.476288,1.000000,0.997359
9.138778,1.479845,1.000000,0.997755
9.238792,1.482868,1.000000,0.998092
9.349033,1.485438,1.000000,0.998378
9.448754,1.487622,1.000000,0.998621
9.558753,1.489479,1.000000,0.998828
9.658744,1.491057,1.000000,0.999004
9.758724,1.492399,1.000000,0.999153
9.868768,1.493539,1.000000,0.999280
9.968740,1.494508,1.000000,0.999388
10.078678,1.495332,1.000000,0.999480
10.178674,1.496032,1.000000,0.999558
10.278641,1.474390,1.000000,0.999624
10.388727,1.403231,1.000000,0.999480
10.488642,1.342747,1.000000,0.989625
10.588664,1.291335,1.000000,0.976182
10.698721,1.247634,1.000000,0.964754
10.798717,1.210489,1.000000,0.958073
10.908617,1.178916,1.000000,0.963782
11.008564,1.167595,1.000000,0.969215
11.108580,1.154843,1.000000,0.973833
11.218528,1.132984,1.000000,0.977758
11.318696,1.118652,1.000000,0.981094
11.428501,1.117580,1.000000,0.983930
11.528460,1.144319,1.000000,0.986341
11.628465,1.177090,1.000000,0.988389
11.738462,1.225526,1.000000,0.990131
11.838507,1.266697,1.000000,0.991611
11.938439,1.301693,1.000000,0.992870
12.048405,1.331439,1.000000,0.993939
12.148416,1.356723,1.000000,0.994848
12.258367,1.378214,1.000000,0.995621
12.358418,1.396482,1.000000,0.996278
12.458376,1.412010,1.000000,0.996836
12.568379,1.425208,1.000000,0.997311
12.668429,1.436427,1.000000,0.997714
12.778327,1.445963,1.000000,0.998057
12.878362,1.454069,1.000000,0.998348
12.978293,1.460958,1.000000,0.998596
13.088334,1.466815,1.000000,0.998807
13.188273,1.471792,1.000000,0.998986
13.288299,1.476024,1.000000,0.999138
13.398376,1.479620,1.000000,0.999267
13.498273,1.482677,1.000000,0.999377
13.608370,1.479671,1.000000,0.999471
13.708227,1.459491,1.000000,0.999550
13.808464,1.390567,1.000000,0.997947
13.918202,1.331982,1.000000,0.985187
14.018188,1.282185,1.000000,0.972409
14.128161,1.239857,1.000000,0.961548
14.228228,1.203879,1.000000,0.952316
14.328204,1.173297,1.000000,0.944468
14.438141,1.147302,1.000000,0.937798
14.538134,1.125207,1.000000,0.932128
14.638092,1.106426,1.000000,0.927309
14.748071,1.090462,1.000000,0.923213
14.848113,1.076893,1.000000,0.919731
14.958050,1.065359,1.000000,0.916771
15.058052,1.055555,1.000000,0.914256
15.158023,1.047222,1.000000,0.912117
15.268028,1.040138,1.000000,0.910300
15.368086,1.034118,1.000000,0.908755
15.478002,1.029000,1.000000,0.907441
15.577976,1.024650,1.000000,0.906325
15.677951,1.020953,1.000000,0.905376
15.787971,1.017810,1.000000,0.904570
15.887984,1.015138,1.000000,0.903884
15.987926,1.012867,1.000000,0.903302
16.097946,1.010937,1.000000,0.902807
16.197972,1.009297,1.000000,0.902386
16.308036,1.007902,1.000000,0.902028
16.407912,1.006717,1.000000,0.901724
16.507931,1.005709,1.000000,0.901465
16.617853,1.004853,1.000000,0.901245
16.717826,1.004125,1.000000,0.901058
16.818028,1.003506,1.000000,0.900900
16.927811,1.002980,1.000000,0.900765
17.027763,1.002533,1.000000,0.900650
17.137770,1.002153,1.000000,0.900553
17.237751,1.001830,1.000000,0.900470
17.338044,1.001556,1.000000,0.900399
17.447745,1.001322,1.000000,0.900339
17.547724,1.001124,1.000000,0.900288
17.657709,1.000955,1.000000,0.900245
17.757689,1.000812,1.000000,0.900208
17.857762,1.000690,1.000000,0.900177
17.967680,1.000587,1.000000,0.900151
18.067716,1.000499,1.000000,0.900128
18.177638,1.000424,1.000000,0.900132
18.277637,1.000360,1.000000,0.900112
18.377638,1.000306,1.000000,0.900095
18.487603,1.000260,1.000000,0.900081
18.587589,1.000221,1.000000,0.900069
18.697651,1.000188,1.000000,0.902520
18.797623,1.000160,1.000000,0.908152
18.897650,1.000136,1.000000,0.911208
19.007586,1.000116,1.000000,0.910588
19.107580,1.000098,1.000000,0.908999
19.207513,1.000083,1.000000,0.907650
19.317665,1.000071,1.000000,0.906502
19.417528,1.000060,1.000000,0.908050
19.527475,1.000051,1.000000,0.908859
19.627503,1.000044,1.000000,0.907530
19.727469,1.000037,1.000000,0.906401
19.837508,1.000031,1.000000,0.905441
19.937431,1.000027,1.000000,0.904624
20.037400,1.000023,1.000000,0.905288
20.147420,1.000019,1.000000,0.909150
20.247371,1.000016,1.000000,0.911432
20.357382,1.000014,1.000000,0.909718
20.457362,1.000012,1.000000,0.908260
20.557335,1.000010,1.000000,0.907021
20.667321,1.000009,1.000000,0.905968
20.767307,1.000007,1.000000,0.906475
20.877349,1.000006,1.000000,0.907065
20.977290,1.000005,1.000000,0.906005
21.077268,1.000004,1.000000,0.905105
21.187293,1.000004,1.000000,0.904339
21.287233,1.000003,1.000000,0.903688
21.387276,1.000003,1.000000,0.903135
21.497337,1.000002,1.000000,0.902665
21.597383,1.000002,1.000000,0.902265
21.707168,1.000002,1.000000,0.901925
21.807358,1.000001,1.000000,0.901636
21.907310,1.000001,1.000000,0.901391
22.017136,1.000001,1.000000,0.901182
22.117118,1.000001,1.000000,0.901005
22.227128,1.000001,1.000000,0.900854
22.327173,1.000001,1.000000,0.900726
22.427104,1.000001,1.000000,0.900617
22.537092,1.000000,1.000000,0.900525
22.637048,1.000000,1.000000,0.900446
22.737062,1.000000,1.000000,0.900379
22.847069,1.000000,1.000000,0.900322
22.947064,1.000000,1.000000,0.900274
23.057003,1.000000,1.000000,0.900233
23.157010,1.000000,1.000000,0.900198
23.257009,1.000000,1.000000,0.900168
23.367025,1.000000,1.000000,0.900143
23.467024,1.000000,1.000000,0.900122
23.576983,1.000000,1.000000,0.900103
23.676969,1.000000,1.000000,0.900088
23.776932,1.000000,1.000000,0.900075
23.887012,1.000000,1.000000,0.900063
23.986899,1.000000,1.000000,0.900054
24.097046,1.000000,1.000000,0.900046
24.196902,1.000000,1.000000,0.900039
24.297108,1.000000,1.000000,0.900033
24.406877,1.000000,1.000000,0.900028
24.506871,1.000000,1.000000,0.900024
24.616817,1.000000,1.000000,0.900020
24.716844,1.000000,1.000000,0.900017
24.816904,1.000000,1.000000,0.900015
24.926774,1.000000,1.000000,0.900012
25.026821,1.000000,1.000000,0.900011
25.126774,1.000000,1.000000,0.900009
25.236745,1.000000,1.000000,0.900008
25.336896,1.000000,1.000000,0.900007
25.446759,1.000000,1.000000,0.900006
25.546714,1.000000,1.000000,0.900005
25.646703,1.000000,1.000000,0.900004
25.756645,1.000000,1.000000,0.900003
25.856716,1.000000,1.000000,0.900003
25.966638,1.000000,1.000000,0.900002
26.066646,1.000000,1.000000,0.900002
26.166635,1.000000,1.000000,0.900002
26.276607,1.000000,1.000000,0.900002
26.376645,1.000000,1.000000,0.900001
26.476572,1.000000,1.000000,0.900001
26.586665,1.000000,1.000000,0.900001
26.686552,1.000000,1.000000,0.900001
26.796610,1.000000,1.000000,0.900001
26.896737,1.000000,1.000000,0.900001
26.996531,1.000000,1.000000,0.901909
27.106507,1.000000,1.000000,0.902355
27.206486,1.000000,1.000000,0.902002
27.316565,1.000000,1.000000,0.901702
27.416513,1.000000,1.000000,0.901446
27.516475,1.000000,1.000000,0.901229
27.626434,1.000000,1.000000,0.901045
27.726424,1.000000,1.000000,0.900888
27.826443,1.000000,1.000000,0.900755
27.936397,1.000000,1.000000,0.900642
28.036377,1.000000,1.000000,0.900545
28.146416,1.000000,1.000000,0.900464
28.246351,1.000000,1.000000,0.900394
28.346444,1.000000,1.000000,0.900335
28.456335,1.000000,1.000000,0.900285
28.556330,1.000000,1.000000,0.900242
28.666304,1.000000,1.000000,0.900206
28.766285,1.000000,1.000000,0.900175
28.866404,1.000000,1.000000,0.907349
28.976294,1.000000,1.000000,0.910700
29.076245,1.000000,1.000000,0.909095
29.176233,1.000000,1.000000,0.907731
29.286257,1.000000,1.000000,0.906571
29.386236,1.000000,1.000000,0.909237
29.496373,1.000000,1.000000,0.910031
