t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,0.000000,0.000000,0.000000,0.003257,-0.001839,0.000011,0.000000,1,-0.608220,0.343806,-0.002050,-0.174180,0.096828,-0.000608,3.477578,1
0.109964,-0.072928,0.047880,-0.008179,-0.005329,0.006581,-0.004334,0.000645,1,-0.638403,0.360348,-0.005521,-0.092204,0.039929,0.000829,0.569826,1
0.209984,-0.139245,0.090346,-0.013252,-0.003208,0.006105,-0.005231,0.000362,1,-0.647590,0.385173,-0.008993,-0.054110,0.020695,-0.002195,0.160081,1
0.310187,-0.206731,0.132763,-0.015327,-0.000889,0.004789,-0.004917,0.000205,1,-0.665305,0.401536,0.003541,-0.042306,0.014600,-0.002493,0.087227,1
0.419966,-0.281829,0.180438,-0.016274,0.001197,0.006923,-0.004902,0.000079,1,-0.681044,0.406576,0.010464,-0.038770,-0.031872,0.002201,0.103176,1
0.519922,-0.347610,0.226476,-0.020683,-0.002347,0.015653,-0.007481,0.000090,1,-0.657926,0.410634,-0.002693,0.045878,-0.098952,0.015008,0.474009,1
0.619878,-0.408952,0.268707,-0.024681,-0.014226,0.028842,-0.008533,0.000447,1,-0.620979,0.380140,-0.016944,0.161942,-0.175467,0.017752,2.170403,1
0.729880,-0.472726,0.304663,-0.025795,-0.032605,0.034463,-0.007674,0.000716,1,-0.586071,0.328451,-0.020053,0.272216,-0.160170,0.026325,3.724573,1
0.830055,-0.526795,0.335172,-0.030335,-0.053104,0.032588,-0.008860,0.000498,1,-0.545724,0.311533,-0.035036,0.286324,-0.072413,0.023137,3.206981,1
0.939844,-0.583038,0.369895,-0.037743,-0.064990,0.027625,-0.010219,0.001157,1,-0.499107,0.297639,-0.035628,0.230362,-0.011621,0.008590,1.929008,1
