t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,0.000000,0.000000,0.000000,-0.000039,-0.000060,0.000006,0.000000,1,1.250215,5.394595,-0.123731,1.242470,5.382586,-0.122625,217.918775,0
0.109983,0.116199,0.598711,-0.006966,0.060799,0.335336,-0.004219,0.203422,1,1.157429,5.514944,-0.119803,1.059848,5.397065,-0.124041,214.040992,0
0.209995,0.218084,1.153179,-0.013481,0.089098,0.536821,-0.009383,0.478580,1,1.104835,5.625902,-0.096741,0.915912,5.391213,-0.140816,209.330169,0
0.310022,0.321639,1.721271,-0.034142,0.111516,0.701190,-0.026395,0.772631,1,1.087667,5.731057,-0.045394,0.865154,5.395646,-0.148238,207.351653,0
0.420005,0.433643,2.360229,-0.044533,0.126653,0.884574,-0.036257,1.178301,1,1.046729,5.846535,0.000458,0.706679,5.479489,-0.149493,211.274374,0
0.520073,0.528292,2.953769,-0.046006,0.124315,1.005439,-0.040119,1.471679,1,1.018195,5.938848,0.053267,0.580196,5.510597,-0.142043,212.351639,0
0.630003,0.633119,3.618073,-0.042649,0.121567,1.156310,-0.036151,1.897003,1,1.006863,6.032006,0.056914,0.466813,5.532511,-0.067996,212.531426,0
0.730095,0.719543,4.228147,-0.045404,0.103434,1.243162,-0.037251,2.147767,1,1.004916,6.111449,0.037016,0.346033,5.521635,-0.085477,210.061229,0
0.830072,0.808231,4.848415,-0.050600,0.085157,1.322881,-0.039695,2.394935,1,0.987474,6.197937,-0.002166,0.220213,5.494499,-0.115882,206.435275,0
0.929987,0.896222,5.476707,-0.052027,0.065291,1.389903,-0.042911,2.613746,1,0.978417,6.287446,0.051414,0.122439,5.426064,-0.113546,200.543586,0
1.039999,0.993933,6.179062,-0.044948,0.043886,1.488764,-0.044394,2.976872,1,0.972165,6.394368,0.117822,0.022384,5.407611,-0.094507,199.457966,0
