t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,0.000019,0.000047,0.000001,0.001856,0.004659,0.000081,0.998792,0.000928,0.002329,0.049071,3.3015558006
0.109964,-0.046258,0.028844,-0.000747,-0.430171,0.270151,-0.007359,0.859430,0.000879,0.012977,0.511088,2.4035602149
0.209984,-0.122053,0.075874,-0.004325,-0.544433,0.345688,-0.004805,0.516406,-0.004130,0.017930,0.856146,1.9495198233
0.310187,-0.195336,0.121931,-0.007233,-0.591783,0.376130,0.007868,0.043797,0.001065,0.022443,0.998788,1.6660270778
0.419966,-0.273642,0.178327,-0.009653,-0.617601,0.458685,0.006898,-0.475994,0.001541,0.033038,0.878826,1.4703404277
0.519922,-0.355966,0.230034,-0.013982,-0.729725,0.565439,-0.026119,-0.826958,0.005873,0.052863,0.559742,1.3252359598
0.619878,-0.431859,0.275381,-0.017623,-0.866339,0.645865,-0.044230,-0.992673,0.028836,0.050909,0.105725,1.2134746330
0.729880,-0.503622,0.302122,-0.022758,-0.989939,0.565954,-0.060084,-0.906727,0.042566,0.040841,-0.417572,1.1255754293
0.830055,-0.536714,0.311996,-0.025104,-0.964239,0.417221,-0.069708,-0.607662,0.047601,0.035900,-0.791954,1.0533950737
0.939844,-0.537775,0.339337,-0.027068,-0.733085,0.288709,-0.041096,-0.109466,0.033993,0.014533,-0.993303,0.9357914683
1.039832,-0.607200,0.373392,-0.029777,-0.694336,0.340590,-0.027092,0.378135,0.015709,-0.012215,-0.925536,0.9447286973
1.139837,-0.639849,0.414212,-0.034560,-0.660712,0.464301,-0.019397,0.774566,-0.006359,-0.036446,-0.631410,0.9004485757
1.249806,-0.689642,0.438968,-0.039015,-0.764535,0.547132,-0.038255,0.987934,-0.033113,-0.051079,-0.142412,0.8628357511
1.350018,-0.712175,0.426279,-0.038211,-0.859873,0.460558,-0.058312,0.938583,-0.048916,-0.057221,0.336740,0.8293629423
1.459764,-0.714682,0.413557,-0.036527,-0.834251,0.281341,-0.067623,0.638559,-0.025837,-0.062998,0.766555,0.8009979555
1.559777,-0.658127,0.422422,-0.035493,-0.581923,0.083231,-0.062046,0.206957,0.028329,-0.063696,0.975863,0.7430412799
1.659764,-0.698702,0.419415,-0.043869,-0.405797,-0.030073,-0.083772,-0.275743,0.080039,-0.053317,0.956408,0.7531362908
1.769749,-0.739626,0.499130,-0.045776,-0.171089,0.129868,-0.088111,-0.730421,0.104382,-0.027116,0.674429,0.7326231215
1.869825,-0.840383,0.566103,-0.046382,-0.166308,0.362123,-0.091450,-0.963288,0.101536,0.004210,0.248493,0.7130892782
1.969685,-0.963676,0.603053,-0.046036,-0.345332,0.526900,-0.088242,-0.967791,0.079391,0.027496,-0.237323,0.6955263884
2.079717,-1.079433,0.608624,-0.048133,-0.569678,0.470517,-0.084189,-0.710587,0.035152,0.052822,-0.700742,0.6808301934
2.179675,-1.154633,0.612576,-0.049413,-0.633200,0.296274,-0.079447,-0.298890,-0.015325,0.060797,-0.952226,0.6665848366
2.289676,-1.220739,0.655428,-0.053761,-0.501992,0.195598,-0.093665,0.226009,-0.062677,0.052057,-0.970712,0.6544511845
2.389690,-1.316948,0.730549,-0.055755,-0.388496,0.277818,-0.109850,0.650464,-0.087134,0.032416,-0.753826,0.6420529838
2.489656,-1.448748,0.807296,-0.056545,-0.376189,0.472209,-0.104178,0.930525,-0.092642,0.010548,-0.354161,0.6304530693
2.599665,-1.612946,0.862456,-0.060130,-0.540172,0.623429,-0.086708,0.981196,-0.064744,-0.020724,0.180649,0.6207506885
2.699619,-1.765792,0.881775,-0.064434,-0.746866,0.608503,-0.063868,0.778056,-0.015640,-0.045138,0.626377,0.6109912954
2.799741,-1.894081,0.904756,-0.071365,-0.860185,0.469085,-0.055833,0.388730,0.044242,-0.059080,0.918391,0.6021299045
2.909671,-2.018860,0.964288,-0.080591,-0.792792,0.331526,-0.064249,-0.141284,0.095270,-0.064712,0.983247,0.5949266156
3.009596,-2.173169,1.070719,-0.088198,-0.674979,0.365212,-0.063050,-0.598074,0.117792,-0.054743,0.790845,0.5870131811
3.119597,-2.377174,1.206734,-0.097064,-0.571732,0.588993,-0.096767,-0.921498,0.115549,-0.044533,0.368111,0.5806380294
3.219556,-2.644923,1.315918,-0.095907,-0.717808,0.854522,-0.097442,-0.989672,0.087231,-0.022774,-0.111454,0.5738472846
3.319722,-2.919776,1.375021,-0.102927,-1.001446,0.959152,-0.128775,-0.837153,0.039533,0.017972,-0.545242,0.5684890197
3.429567,-3.183235,1.420673,-0.110850,-1.282306,0.850281,-0.118381,-0.443512,-0.029676,0.041831,-0.894800,0.5652022036
3.529478,-3.405043,1.486688,-0.125560,-1.377712,0.715141,-0.130608,0.027378,-0.072823,0.054386,-0.995485,0.5610270396
3.639503,-3.643497,1.602808,-0.139834,-1.343217,0.691953,-0.165322,0.527048,-0.095758,0.049906,-0.842947,0.5579194585
3.739458,-3.903969,1.750451,-0.145017,-1.316492,0.862459,-0.184019,0.860262,-0.108473,0.037393,-0.496774,0.5536354839
3.839600,-4.196091,1.890597,-0.157647,-1.378275,1.163122,-0.243362,0.992659,-0.103188,0.042859,-0.046297,0.5499211207
3.949440,-4.537446,1.985046,-0.163851,-1.672808,1.377091,-0.217221,0.873940,-0.070917,0.020654,0.480388,0.5478290714
4.049436,-4.845454,2.000487,-0.177794,-2.012203,1.308988,-0.125876,0.512277,-0.033470,-0.035219,0.857445,0.5453373722
4.159418,-5.128156,2.032212,-0.200168,-2.205607,1.024702,-0.090643,-0.027453,0.011462,-0.088658,0.995618,0.5445642053
4.259426,-5.361205,2.135103,-0.209838,-2.103670,0.864186,-0.120691,-0.492149,0.068151,-0.099973,0.862062,0.5422336727
4.359522,-5.629173,2.310597,-0.208452,-1.902958,1.039326,-0.156527,-0.840119,0.128247,-0.091504,0.519018,0.5396159241
4.469381,-6.000106,2.487199,-0.206280,-1.978508,1.438369,-0.223572,-0.985698,0.157682,-0.054778,0.023138,0.5379696913
4.569439,-6.384538,2.553581,-0.190137,-2.356960,1.640818,-0.229224,-0.885034,0.148530,0.003713,-0.441180,0.5356358109
4.669364,-6.714837,2.561892,-0.182676,-2.789064,1.528464,-0.204243,-0.571324,0.098813,0.054939,-0.812900,0.5341178724
4.779394,-6.986618,2.587772,-0.185092,-2.934598,1.170855,-0.170989,-0.062124,0.033369,0.094590,-0.993016,0.5338631277
4.879381,-7.197130,2.682423,-0.193718,-2.779575,0.945787,-0.189046,0.405346,-0.037231,0.108519,-0.906936,0.5319198132
4.989383,-7.476682,2.862993,-0.204155,-2.562851,1.044773,-0.263411,0.790722,-0.098148,0.087894,-0.597830,0.5307742440
5.089302,-7.809071,3.031408,-0.199406,-2.562001,1.330941,-0.257457,0.977337,-0.133695,0.047997,-0.156952,0.5279316465
5.189302,-8.254548,3.134474,-0.204016,-2.932703,1.527080,-0.173507,0.929158,-0.131436,-0.002733,0.345519,0.5099311836
5.299480,-8.631107,3.230791,-0.218856,-3.274433,1.454615,-0.137993,0.605956,-0.105380,-0.078777,0.784543,0.5096550761
5.399310,-8.888626,3.322497,-0.229914,-3.398215,1.186889,-0.116573,0.153828,-0.060792,-0.129127,0.977736,0.5080815283
5.509256,-9.137804,3.495405,-0.245094,-3.214301,0.964732,-0.131150,-0.367789,0.006534,-0.141211,0.919102,0.5074044755
5.609263,-9.377465,3.728569,-0.259040,-2.870282,1.042340,-0.173377,-0.748591,0.088262,-0.129535,0.644237,0.5053028614
5.709286,-9.705951,3.961754,-0.270974,-2.681996,1.445978,-0.240418,-0.956857,0.164464,-0.099833,0.217737,0.5033000503
5.819434,-10.147202,4.127642,-0.265737,-2.954810,1.818730,-0.261201,-0.929991,0.198752,-0.010719,-0.309031,0.5025188360
5.919254,-10.508931,4.172761,-0.255741,-3.371940,1.800516,-0.272389,-0.677793,0.181614,0.080991,-0.707851,0.5006530043
6.029187,-10.812770,4.217337,-0.240530,-3.611877,1.382546,-0.247888,-0.205392,0.112855,0.160155,-0.958868,0.5003070756
6.129193,-10.919564,4.398373,-0.210482,-3.321554,1.037087,-0.184748,0.273478,0.022799,0.194056,-0.941824,0.4840099152
6.229153,-11.195302,4.651726,-0.217361,-2.948653,1.029304,-0.196079,0.684584,-0.070397,0.174580,-0.704209,0.4831209777
6.339264,-11.574671,4.950094,-0.227655,-2.689026,1.442732,-0.229928,0.946795,-0.162175,0.115178,-0.253006,0.4831830800
6.439140,-12.005160,5.152936,-0.226447,-2.847115,1.875894,-0.257766,0.951424,-0.203895,0.043174,0.226618,0.4819244289
