t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,0.000077,0.000120,-0.000011,0.007745,0.012009,-0.001106,0.998799,0.003871,0.006002,0.048478,3.3015557686
0.109983,0.009730,0.011485,0.000423,0.096928,0.114271,0.004283,0.854212,0.045504,0.052889,0.515222,2.5586956546
0.209995,0.074127,0.285829,0.001679,0.187255,0.224521,0.044254,0.487341,0.067206,0.068478,0.867924,2.1565880624
0.310022,0.150956,0.648051,0.006259,0.219640,0.316841,0.103547,-0.012700,0.064874,0.058696,0.996085,1.9045785918
0.420005,0.247058,1.057080,0.008885,0.335826,0.336405,0.151217,-0.546979,0.062791,0.031191,0.834205,1.7345295529
0.520073,0.350319,1.514347,0.011436,0.433001,0.386656,0.196988,-0.889033,0.031774,0.011784,0.456587,1.6110051464
0.630003,0.462691,1.997009,0.008042,0.534104,0.442822,0.126714,-0.999468,-0.009065,-0.005049,-0.030928,1.5237115825
0.730095,0.576913,2.513889,0.005974,0.653009,0.520780,0.124609,-0.864834,-0.053078,-0.016927,-0.498958,1.4569614215
0.830072,0.692277,3.047108,0.003467,0.761860,0.621381,0.116231,-0.526694,-0.083604,-0.039870,-0.844994,1.4073814652
0.929987,0.808164,3.602107,0.005875,0.851624,0.766376,0.167944,-0.034951,-0.087973,-0.041777,-0.994632,1.3699841507
1.039999,0.935096,4.183014,0.014617,0.946856,0.874532,0.215733,0.507081,-0.073426,-0.026959,-0.858342,1.3460038831
1.140000,1.057534,4.793429,0.019313,1.074858,1.031298,0.198673,0.851996,-0.053167,-0.009340,-0.520758,1.3244580701
1.250188,1.192691,5.442849,0.021490,1.163302,1.269895,0.153201,0.999273,-0.028411,0.006852,-0.024462,1.3149149847
1.349983,1.305390,6.118183,0.018521,1.154625,1.511785,0.119894,0.898797,-0.017134,0.021886,0.437484,1.3049989373
1.449990,1.409543,6.808284,0.011817,1.123844,1.720504,0.075415,0.602345,0.008539,0.032186,0.797541,1.2995071882
