t,zx,zy,zz,innov_x,innov_y,innov_z,mahalanobis_pos,accepted_pos,vx,vy,vz,innov_vx,innov_vy,innov_vz,mahalanobis_vel,accepted_vel
0.000000,0.000000,0.000000,0.000000,0.000093,0.000009,-0.000005,0.000000,1,-3.478239,6.986375,0.018903,-3.459706,6.988080,0.017849,433.989355,0
0.099996,-0.339417,0.680536,0.002769,-0.184213,0.389002,0.001683,0.324380,1,-3.375139,6.848393,0.021289,-3.186916,6.851018,0.023297,404.177417,0
0.209969,-0.700261,1.414072,0.002266,-0.337952,0.696009,0.000731,0.965500,1,-3.264794,6.693120,0.003290,-3.073878,6.690202,0.005292,383.787945,0
0.310194,-1.011040,2.069252,-0.003212,-0.355971,0.881789,0.001220,1.385071,1,-3.140049,6.555063,-0.010135,-2.525990,6.521148,0.023634,339.289179,0
0.409988,-1.309548,2.710375,-0.007264,-0.445942,1.037666,-0.001929,1.872139,1,-3.012919,6.411781,-0.006939,-2.387672,6.352115,0.026906,319.776344,0
0.520002,-1.621083,3.399792,-0.012880,-0.471621,1.207527,-0.001348,2.395875,1,-2.880715,6.246615,-0.037303,-2.012247,6.151452,0.019105,289.652023,0
0.619995,-1.886281,4.017338,-0.015276,-0.437820,1.303524,0.004405,2.638745,1,-2.738845,6.114684,-0.059968,-1.576842,6.006775,0.029750,266.431954,0
0.720040,-2.135713,4.623583,-0.026941,-0.398444,1.392588,0.004789,2.879290,1,-2.571115,5.997438,-0.080629,-1.147261,5.943841,0.057416,252.784264,0
0.830095,-2.398574,5.274058,-0.042292,-0.370039,1.516358,0.003981,3.300937,1,-2.407096,5.882446,-0.064400,-0.788179,5.913397,0.094755,244.552584,0
0.930000,-2.625927,5.856946,-0.062709,-0.301559,1.575125,-0.001536,3.454469,1,-2.246250,5.785875,-0.044254,-0.479509,5.835035,0.086322,234.036907,0
1.030039,-2.837273,6.429148,-0.080273,-0.241104,1.616915,-0.007270,3.564117,1,-2.066137,5.694402,-0.026654,-0.133688,5.671394,0.067946,218.927685,0
1.140023,-3.046837,7.056477,-0.092290,-0.177501,1.692505,-0.006671,3.842709,1,-1.872733,5.606858,-0.021109,0.291869,5.492897,0.083761,206.011455,0
1.240059,-3.220960,7.626281,-0.103857,-0.068508,1.718131,-0.002347,3.914614,1,-1.732258,5.588970,-0.056421,0.646297,5.560261,0.081438,214.418165,0
1.350065,-3.396628,8.250656,-0.127539,-0.002256,1.795659,-0.002663,4.260174,1,-1.542995,5.606036,-0.072165,0.868598,5.747129,0.153099,232.598731,0
1.450051,-3.531695,8.821694,-0.146011,0.081835,1.825071,0.004264,4.411593,1,-1.338607,5.638172,-0.038649,0.885155,5.880445,0.204086,244.364863,0
1.550072,-3.642679,9.397750,-0.155594,0.135380,1.838964,0.009839,4.493631,1,-1.119905,5.661804,0.000244,0.947335,5.770373,0.181926,236.526579,0
1.660091,-3.736551,10.035696,-0.161241,0.192918,1.880455,0.012696,4.725431,1,-0.886707,5.664267,0.030560,1.228998,5.564929,0.154300,225.253641,0
1.760052,-3.802760,10.609964,-0.160563,0.293739,1.854498,0.020822,4.675653,1,-0.668841,5.662853,0.054942,1.688811,5.500451,0.180828,231.636075,0
1.860073,-3.845550,11.179963,-0.159107,0.382248,1.841781,0.029529,4.699991,1,-0.431150,5.656731,0.057193,2.094694,5.662463,0.221007,258.648910,0
1.970046,-3.862390,11.809745,-0.156743,0.466055,1.894158,0.044022,5.064137,1,-0.158220,5.636071,0.050005,2.333565,5.897179,0.308198,289.870758,0
2.070024,-3.850726,12.380875,-0.148344,0.544521,1.897816,0.065394,5.209791,1,0.085621,5.602630,0.076641,2.286585,5.996418,0.382223,300.344602,0
2.180081,-3.811004,12.998867,-0.139144,0.587501,1.916984,0.074762,5.383434,1,0.341172,5.579130,0.098768,2.284017,5.822942,0.338418,287.236497,0
2.280194,-3.753062,13.563449,-0.140328,0.646505,1.870075,0.073993,5.262361,1,0.543410,5.594976,0.068624,2.483021,5.619415,0.287248,279.358431,0
2.390094,-3.666915,14.179027,-0.151277,0.701059,1.867848,0.068976,5.357609,1,0.768404,5.615745,0.036287,2.777395,5.633639,0.314935,296.610558,0
2.490063,-3.565781,14.747257,-0.168490,0.758058,1.842958,0.068197,5.363175,1,0.993115,5.632851,0.030423,2.902942,5.851333,0.376974,328.117861,0
2.590104,-3.435553,15.315346,-0.172215,0.670052,1.818808,0.049549,4.983625,1,1.276822,5.629728,0.071931,3.107483,5.630290,0.415079,324.976048,0
2.690107,-3.277239,15.884266,-0.174139,0.831028,1.842732,0.095868,5.546586,1,1.566761,5.618772,0.116733,2.788535,6.048482,0.497619,353.322708,0
2.800287,-3.069286,16.512582,-0.169173,0.844195,1.860079,0.102054,5.668312,1,1.884764,5.587741,0.073434,2.824379,5.842592,0.420283,338.763629,0
2.900128,-2.850151,17.071981,-0.166108,0.799063,1.818120,0.080084,5.256989,1,2.181224,5.543514,0.043614,3.023660,5.578616,0.383596,330.905170,0
