t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,traceP
0.010000,-0.000046,0.000010,0.000018,-0.004623,0.001007,0.001757,0.998751,-0.002310,0.000503,0.049908,3.3015560012
0.020000,-0.000141,0.000035,0.000050,-0.009473,0.002510,0.003236,0.995020,-0.004691,0.001271,0.099554,3.3019673141
0.020011,-0.000141,0.000035,0.000050,-0.009478,0.002512,0.003237,0.995015,-0.004693,0.001272,0.099607,3.3019677892
0.030028,-0.000285,0.000075,0.000097,-0.014320,0.003944,0.004722,0.988796,-0.007070,0.002003,0.149090,3.3024521507
0.040002,-0.000479,0.000126,0.000157,-0.019502,0.005189,0.005960,0.980176,-0.009627,0.002727,0.197874,3.3030060380
0.049998,-0.000728,0.000190,0.000221,-0.024874,0.006390,0.006444,0.969210,-0.012257,0.003492,0.245906,3.3036320811
0.060230,-0.001036,0.000265,0.000288,-0.030085,0.007334,0.006576,0.955597,-0.014919,0.004066,0.294272,3.3043460758
0.070156,-0.001380,0.000344,0.000353,-0.034714,0.007929,0.006491,0.940119,-0.017472,0.004334,0.340371,3.3051089680
0.080055,-0.001772,0.000429,0.000410,-0.039580,0.008550,0.005759,0.922586,-0.020038,0.004711,0.385241,3.3059376656
0.090179,-0.002225,0.000520,0.000457,-0.044748,0.009043,0.004643,0.902509,-0.022737,0.005157,0.430039,3.3068548436
0.100228,-0.002720,0.000614,0.000496,-0.049224,0.009294,0.003879,0.880353,-0.025455,0.005212,0.473607,3.3078346066
0.110244,-0.003261,0.000711,0.000527,-0.054098,0.009735,0.003150,0.856156,-0.028065,0.005463,0.515926,3.3088789695
0.120056,-0.003854,0.000812,0.000543,-0.060447,0.010264,0.001622,0.830675,-0.030426,0.006563,0.555887,3.3099660858
0.130065,-0.004521,0.000919,0.000542,-0.066586,0.010719,-0.000126,0.802815,-0.032823,0.007581,0.595276,3.3111398770
0.140050,-0.005235,0.001034,0.000536,-0.071485,0.011492,-0.000608,0.772777,-0.035282,0.007935,0.633646,3.3123767551
0.150052,-0.006003,0.001156,0.000528,-0.076778,0.012252,-0.000827,0.740749,-0.037608,0.008466,0.670675,3.3136797442
0.160259,-0.006852,0.001290,0.000505,-0.083188,0.013035,-0.002178,0.706606,-0.039482,0.009448,0.706442,3.3150728298
0.170030,-0.007722,0.001428,0.000474,-0.089063,0.014208,-0.003205,0.672206,-0.041098,0.010127,0.739154,3.3164670448
0.180048,-0.008670,0.001583,0.000442,-0.094619,0.015417,-0.003249,0.634982,-0.042876,0.010658,0.771263,3.3179576332
0.190019,-0.009670,0.001742,0.000401,-0.100285,0.015919,-0.004083,0.596727,-0.044562,0.011557,0.801123,3.3194995785
0.200014,-0.010731,0.001905,0.000342,-0.106169,0.016375,-0.005891,0.557363,-0.045932,0.012520,0.828903,3.3211027029
0.210014,-0.011848,0.002079,0.000268,-0.111734,0.017376,-0.007360,0.516541,-0.047271,0.013170,0.854855,3.3227646523
0.220011,-0.013016,0.002264,0.000180,-0.116775,0.018474,-0.008804,0.474529,-0.048738,0.013765,0.878782,3.3244825299
0.230056,-0.014239,0.002459,0.000080,-0.121764,0.019456,-0.010038,0.431095,-0.050101,0.014449,0.900799,3.3262651896
0.240024,-0.015506,0.002668,-0.000020,-0.127105,0.020959,-0.009977,0.386383,-0.051249,0.014823,0.920794,3.3280898918
0.250025,-0.016833,0.002897,-0.000110,-0.132712,0.022869,-0.009057,0.340176,-0.052297,0.014943,0.938787,3.3299751045
0.260054,-0.018221,0.003141,-0.000191,-0.138418,0.024381,-0.008012,0.292941,-0.053083,0.015165,0.954535,3.3319188600
0.270023,-0.019660,0.003398,-0.000261,-0.144314,0.025713,-0.007047,0.245301,-0.053591,0.015295,0.967844,3.3339030117
0.280043,-0.021166,0.003674,-0.000319,-0.150348,0.027614,-0.005767,0.196653,-0.054204,0.015150,0.978856,3.3359490892
0.290011,-0.022724,0.003974,-0.000362,-0.156214,0.030104,-0.004345,0.147697,-0.055056,0.014915,0.987386,3.3380355808
0.300028,-0.024348,0.004300,-0.000387,-0.162176,0.032478,-0.002492,0.097919,-0.055777,0.014714,0.993521,3.3401831015
0.310017,-0.026032,0.004641,-0.000387,-0.168544,0.034199,-0.000031,0.047726,-0.056066,0.014392,0.997182,3.3423746865
0.319995,-0.027778,0.004997,-0.000359,-0.175031,0.035628,0.002860,-0.002752,-0.056141,0.013999,0.998321,3.3446136418
0.330002,-0.029592,0.005366,-0.000289,-0.181286,0.036911,0.006956,-0.053958,-0.056039,0.013720,0.996875,3.3469085200
0.339995,-0.031468,0.005745,-0.000176,-0.187696,0.037954,0.011347,-0.105101,-0.055756,0.013302,0.992808,3.3492494039
0.350045,-0.033421,0.006134,-0.000023,-0.194319,0.038693,0.015231,-0.156000,-0.055320,0.012696,0.986125,3.3516538770
0.360027,-0.035427,0.006532,0.000164,-0.201014,0.039823,0.018756,-0.205989,-0.055033,0.012146,0.976930,3.3540921743
0.370029,-0.037512,0.006942,0.000390,-0.208381,0.041042,0.022580,-0.255705,-0.054913,0.011451,0.965126,3.3565856551
0.379995,-0.039665,0.007359,0.000657,-0.216051,0.041784,0.026737,-0.304749,-0.054694,0.010594,0.950802,3.3591206570
0.390025,-0.041903,0.007781,0.000970,-0.223162,0.042126,0.031264,-0.353448,-0.054049,0.009819,0.933840,3.3617233985
0.400015,-0.044197,0.008203,0.001332,-0.229656,0.042220,0.036198,-0.401194,-0.053019,0.009100,0.914412,3.3643675675
